vector,line,age,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
467,22,5,8.626315750038705,0.7131995970609004,972,0,4,1,1,5,7,1,6,4,0,1122,4,0,0,2,3,10,1,5,1,2,993,4,5,1,0,19,6,0,1,1,6,969,0,13,1,4,10,8,0,0,3,2,934,2,6,6,8,17,1,0,1,19,1,857,14,0,8,9,2,2,2,1,9,5,920,0,6,1,1,1,6,6,3,1,2,965,6,9,2,7,13,4,5,3,5,3,919,4,0,0,0,4,24,3,0,20,4,952
468,22,6,5.217972155725789,0.7638951697989523,970,0,4,0,1,4,6,1,6,3,0,1122,4,0,0,1,3,10,1,5,1,3,993,3,4,1,0,17,5,0,1,1,8,973,0,13,1,4,10,8,0,0,3,1,939,1,6,4,9,14,3,0,1,19,1,861,13,1,7,8,2,1,2,0,8,4,921,0,5,1,1,1,6,4,2,1,2,967,6,9,2,7,11,4,4,3,6,4,921,4,0,0,0,6,23,3,0,20,4,957
469,22,7,4.576915812078203,0.7677314904295507,969,0,4,0,1,4,6,1,5,3,0,1121,4,0,0,1,3,9,1,5,1,3,994,3,3,1,1,17,5,0,1,2,8,975,1,13,1,3,10,8,0,0,3,0,940,1,4,5,8,14,3,0,1,19,1,860,13,0,6,8,3,2,2,0,8,4,924,0,3,1,0,1,6,4,3,1,2,968,6,7,2,6,10,3,3,4,4,5,926,4,1,0,0,6,22,3,0,20,4,959
470,22,8,4.231921236616694,0.7992642051508736,970,0,4,0,2,4,6,1,5,2,0,1121,4,0,0,1,3,9,1,5,1,3,996,1,3,1,1,17,6,0,1,2,7,976,1,12,1,3,10,8,0,0,3,0,940,1,3,5,8,15,2,0,0,20,1,863,12,0,5,9,2,2,2,0,6,3,925,0,3,1,0,1,6,4,3,1,3,970,6,5,2,6,10,3,3,4,4,5,925,4,2,0,0,6,23,2,0,18,5,960
471,22,9,3.8626437004963163,0.801898585878798,970,0,4,0,2,4,4,1,4,3,1,1122,4,0,0,1,3,9,1,5,1,3,998,1,4,1,1,17,6,0,0,2,7,977,1,12,1,3,8,8,0,0,3,0,942,1,3,5,9,15,2,0,0,19,2,863,13,0,6,7,2,2,2,0,4,3,925,0,3,1,0,1,6,4,3,1,4,971,6,5,2,5,8,3,2,4,4,5,928,4,2,0,0,6,22,2,0,17,3,961
472,22,10,3.2646670707302783,0.8108136937972302,970,0,4,0,2,4,4,1,4,3,1,1123,4,0,0,1,3,8,1,5,1,2,999,1,4,1,1,17,6,0,0,2,7,978,1,13,1,3,8,6,0,0,3,0,946,1,4,6,9,15,2,0,0,18,2,863,14,0,6,7,2,2,1,0,4,3,924,0,3,1,0,1,6,4,4,1,3,971,5,5,2,5,8,3,2,3,4,6,929,5,2,0,0,6,17,2,0,16,3,962
473,22,11,-0.5043419176538074,1.6513796548882183,968,0,4,0,2,4,5,1,4,3,1,1123,4,0,0,0,3,6,1,4,2,2,999,1,4,1,1,16,6,0,0,2,7,978,1,12,1,4,8,7,0,0,3,0,950,1,5,6,9,14,2,0,0,18,2,865,15,0,6,7,3,2,1,0,4,3,922,0,3,1,0,1,6,4,4,1,2,972,5,5,2,5,8,3,2,3,4,6,928,5,2,0,0,6,13,2,0,17,4,963
474,22,12,-1.0624650798451367,1.7688933488204301,966,0,4,0,2,4,6,1,3,3,1,1123,3,0,0,0,3,6,1,4,2,2,999,1,5,1,1,14,6,0,0,2,6,977,1,13,1,4,8,7,1,0,3,0,951,1,5,5,7,15,3,0,0,18,2,865,12,0,5,7,3,2,1,0,4,3,924,0,3,1,0,1,6,4,4,1,2,975,5,5,2,5,9,5,1,3,4,6,932,5,2,0,1,5,12,1,0,17,4,962
475,22,13,-1.3521100715988958,1.8720896853852793,966,0,4,0,2,4,6,1,3,3,1,1123,3,0,0,0,3,6,1,4,1,2,1001,0,5,1,1,14,7,0,0,2,5,977,1,13,1,3,8,7,1,0,3,1,951,1,5,5,7,15,4,0,0,19,2,864,13,0,5,7,3,2,1,0,4,4,923,0,3,1,0,1,6,4,4,1,2,979,5,4,2,5,8,4,1,3,4,6,930,5,2,0,1,5,12,1,0,14,5,963
476,22,14,-1.6686614908009658,1.9743240260483397,966,0,4,0,1,4,6,1,3,3,1,1122,3,1,0,0,3,6,1,4,1,2,1001,0,5,1,1,14,6,0,0,2,5,977,1,11,1,3,7,7,1,0,3,1,953,1,5,6,7,14,4,0,0,19,2,866,11,0,6,8,3,2,2,0,4,4,924,0,3,1,0,2,6,4,4,1,2,979,3,4,2,5,7,4,1,3,5,6,934,5,2,0,1,4,11,1,0,13,4,963
477,22,15,-1.8362415170886235,2.1261587038385583,965,0,4,0,1,4,6,1,4,3,1,1122,3,1,0,0,3,6,1,4,2,2,1000,1,4,1,1,14,7,0,0,2,6,976,1,10,1,3,7,7,1,0,3,1,956,1,6,6,8,14,4,0,0,19,1,866,11,0,6,7,3,2,2,0,5,4,923,0,3,1,0,2,6,4,4,1,2,979,3,4,2,5,7,4,1,4,5,6,931,5,2,0,1,4,9,1,0,13,4,964
