vector,line,algo,oldage,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
135,6,1.0,9,2.655526806580804,7.608550191332568,970,1,8,3,2,4,13,4,7,3,1,1119,1,0,0,0,3,6,0,4,2,4,991,5,6,0,2,14,4,0,0,1,7,978,0,7,0,2,9,3,1,0,4,0,953,0,8,0,5,10,2,0,1,8,0,862,29,2,8,5,0,3,3,0,4,0,902,0,6,3,2,1,8,4,0,2,0,969,3,0,1,6,7,9,1,12,1,3,922,1,1,0,2,3,16,5,0,28,10,980
136,6,1.0,10,2.656563646011654,7.772588809925316,972,2,8,4,2,5,14,4,6,2,1,1120,3,1,0,0,3,6,0,4,2,3,989,4,6,0,2,13,6,1,0,1,6,977,0,8,0,2,11,3,1,0,3,0,954,0,8,0,4,12,0,0,1,9,0,859,29,2,7,4,0,3,3,0,4,1,901,0,5,3,2,1,9,3,0,2,0,972,2,3,1,5,9,8,1,11,1,4,923,1,1,0,1,4,15,6,0,25,10,976
137,6,1.0,11,2.6594735489260444,7.917757584865062,969,2,7,5,2,5,13,3,7,3,1,1122,5,1,0,1,3,8,0,4,2,3,991,5,6,0,2,13,4,0,0,1,6,976,0,8,0,1,10,2,1,0,3,0,955,0,8,0,4,11,2,0,1,9,0,858,33,2,10,6,1,3,3,0,3,3,899,0,3,3,2,1,9,4,0,2,0,972,2,2,1,3,6,7,1,10,0,5,925,2,1,0,1,3,15,5,0,24,9,976
138,6,1.0,12,2.660785269100853,8.058118204418419,968,2,7,5,2,5,11,3,5,3,1,1123,5,1,0,1,3,8,0,4,2,2,993,6,6,0,2,15,2,0,0,1,6,974,0,6,0,1,10,3,1,0,3,0,953,0,6,0,5,10,2,0,0,9,0,860,28,3,11,5,2,3,3,0,3,2,907,0,3,3,1,0,6,4,0,2,0,964,2,2,1,4,7,6,1,11,1,5,926,2,2,0,2,5,17,5,0,29,10,977
139,6,1.0,13,2.650249438785101,8.189786114457352,968,3,7,7,2,6,13,3,6,3,1,1121,4,1,0,1,3,7,0,4,2,3,994,6,6,0,2,14,3,0,0,1,6,973,0,7,0,2,8,1,1,0,3,0,953,0,6,0,6,12,2,0,0,9,0,854,23,2,11,6,2,3,3,0,3,4,911,0,3,3,2,1,8,5,0,2,0,976,2,2,1,3,6,4,1,12,0,4,927,1,1,0,1,5,17,6,0,20,8,977
140,6,1.0,14,2.634236404610748,8.312720840705545,969,2,8,7,2,5,14,3,7,3,1,1123,7,1,1,0,3,7,0,5,2,3,994,7,6,0,2,16,4,0,0,1,5,974,0,7,0,1,9,1,0,1,3,0,952,0,6,1,5,9,2,0,0,10,0,861,27,1,9,6,2,2,3,0,2,2,906,0,4,3,2,1,6,3,0,2,0,974,2,3,1,2,5,4,1,10,0,6,926,1,1,0,1,4,18,5,0,19,8,978
141,6,1.0,15,2.648665365303146,8.41948497956746,969,3,7,5,2,5,13,3,7,3,1,1122,7,1,1,0,2,6,0,5,2,4,995,7,6,0,2,14,5,0,0,1,6,977,0,6,0,2,10,1,0,1,0,0,949,0,5,1,4,8,2,0,0,8,0,861,26,1,10,6,2,2,4,0,3,5,910,0,4,3,2,0,7,4,0,2,0,975,3,3,1,2,5,4,1,9,0,6,923,1,1,0,1,4,20,4,0,20,8,979
142,6,1.0,16,2.7321146403660386,8.513711531352294,969,2,7,6,2,5,13,3,8,6,1,1122,8,1,0,0,3,6,1,4,2,3,992,7,7,0,3,12,5,0,0,1,5,971,0,6,0,2,8,0,0,2,2,0,954,0,6,1,3,10,1,0,0,9,0,868,30,1,13,5,2,2,3,0,3,2,903,0,3,2,3,1,7,4,0,2,0,982,3,4,1,2,7,8,1,6,0,6,922,1,1,0,1,4,15,3,0,15,8,977
143,6,1.0,17,2.7416555483037808,8.593189355140524,970,2,7,7,2,6,13,3,7,6,1,1123,9,1,1,0,2,6,1,5,2,3,991,7,7,0,4,13,3,0,0,1,6,968,0,6,0,1,9,0,0,3,1,0,951,0,6,1,2,8,1,0,0,10,0,867,24,1,11,4,2,1,2,0,3,2,909,0,3,2,2,1,8,4,1,2,0,983,4,6,1,1,7,8,1,6,0,6,926,2,1,0,1,5,16,3,0,14,8,976
144,6,1.0,18,2.750645282909515,8.65565217288386,969,1,7,6,2,7,14,3,7,5,1,1125,7,1,1,0,2,6,1,3,3,4,996,6,6,0,2,10,3,0,0,1,4,974,0,6,0,2,10,0,0,1,2,0,953,0,6,1,2,9,1,0,0,8,0,864,25,1,10,4,1,1,3,0,3,2,909,0,4,3,3,1,6,4,0,2,0,982,4,7,1,1,6,6,1,8,0,6,925,2,1,0,1,5,16,3,0,17,8,976
145,6,1.0,19,2.756397992060497,8.70878343940038,971,1,7,5,2,5,13,3,7,5,1,1124,8,1,0,0,2,6,1,4,2,4,991,6,6,0,4,11,3,0,0,1,6,975,0,7,0,1,10,1,0,1,2,0,954,0,6,1,2,9,0,0,1,6,0,866,24,0,10,4,1,1,3,0,3,2,907,0,3,3,3,1,7,5,0,2,1,986,5,7,1,2,6,7,1,7,1,5,926,2,1,0,1,5,16,3,0,15,7,974
146,6,1.0,20,2.762648936041037,8.752158785818319,971,0,6,4,3,4,12,3,7,5,1,1124,7,1,1,0,2,6,0,4,2,6,995,6,8,0,4,12,4,0,0,1,6,978,0,6,0,1,11,2,0,1,3,0,948,0,6,1,3,8,0,0,0,7,0,868,27,1,11,3,1,1,2,0,3,2,904,0,3,3,3,0,8,6,1,2,1,985,4,8,1,2,4,6,1,7,2,5,924,4,1,0,1,2,17,3,0,14,7,972
