vector,line,age,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
619,29,10,15.335168039624138,-4.1635912990609665,970,0,7,0,2,4,6,2,5,5,1,1126,4,0,0,1,5,7,1,4,1,2,995,4,5,1,2,16,4,0,0,1,6,986,0,12,0,3,5,4,0,1,3,0,948,1,10,4,3,13,2,0,0,7,0,858,14,1,5,6,2,2,3,0,5,6,915,0,2,1,0,0,6,6,3,1,0,975,4,4,2,3,8,4,1,5,6,6,941,7,2,0,0,3,18,3,0,14,4,965
620,29,11,15.428800250994072,-3.8632228165245404,970,0,7,0,2,4,6,2,5,5,0,1126,4,0,0,1,5,7,1,4,1,2,995,4,4,1,2,14,3,0,0,1,7,984,0,13,0,3,6,4,0,1,3,0,951,1,10,4,3,13,2,0,0,7,0,859,15,1,5,5,3,2,2,0,4,5,915,0,2,1,0,0,6,6,3,1,0,977,4,3,2,3,8,5,1,5,5,6,940,6,2,0,0,4,17,2,0,14,5,968
621,29,12,15.517080147473688,-4.17932239645299,969,0,7,0,2,4,6,2,5,5,0,1126,4,0,0,0,5,7,1,4,1,2,995,4,4,0,2,14,3,0,0,1,7,984,0,13,0,4,6,4,0,1,3,0,952,1,10,4,3,12,2,0,0,7,0,860,15,2,5,5,3,2,2,0,3,5,915,0,2,1,1,0,7,6,3,1,0,974,4,3,2,3,7,5,1,6,5,6,940,6,2,0,0,4,17,2,0,15,5,969
622,29,13,15.57149002071184,-4.2067212251078825,969,0,6,0,2,4,7,2,5,4,0,1126,4,0,0,0,4,7,1,4,1,2,997,4,4,0,2,14,3,0,0,1,5,986,0,12,0,4,6,4,0,1,3,0,954,1,10,4,3,13,2,0,0,5,0,861,15,2,5,5,3,2,2,0,3,5,916,0,2,1,1,0,7,6,4,1,0,974,4,3,2,3,7,5,1,6,4,6,941,6,2,0,1,4,14,2,0,15,4,969
623,29,14,15.605857637336186,-3.8343180268359642,969,0,6,0,1,4,6,2,5,4,0,1125,4,0,0,0,3,7,1,4,1,2,997,4,4,0,2,14,3,0,0,1,5,986,0,12,0,4,6,4,0,1,3,0,955,1,11,4,3,13,2,0,0,5,0,862,16,2,5,5,3,2,2,0,3,5,916,0,2,1,1,0,7,6,4,0,0,976,4,3,2,4,7,5,1,6,4,5,940,6,2,0,1,4,14,2,0,14,5,969
624,29,15,15.640690690476264,-3.8250070891526895,968,0,6,0,1,4,6,2,5,3,0,1125,4,0,0,0,3,7,1,3,1,2,997,4,5,0,2,13,4,0,0,1,5,989,0,10,0,4,6,4,0,1,3,0,954,1,11,4,3,15,3,0,0,4,1,864,16,2,6,4,3,2,2,0,3,5,916,0,2,1,1,0,7,5,4,0,0,976,4,3,2,4,7,5,1,6,4,6,939,6,2,0,1,3,13,2,0,14,4,970
625,29,16,15.673086061960488,-3.8096971489917393,968,0,6,0,2,4,6,2,5,3,0,1125,4,0,0,0,3,8,0,3,1,2,997,4,4,0,1,12,4,0,0,1,5,989,0,10,0,3,6,4,0,1,3,0,954,1,11,4,3,14,3,0,0,4,1,864,16,2,7,5,3,2,2,0,3,5,916,0,2,1,1,0,6,5,4,0,0,977,4,3,2,4,8,5,1,6,5,6,939,6,2,0,1,3,13,2,0,14,4,970
626,29,17,15.792995779555742,-4.249642149403302,968,0,6,0,2,4,6,2,5,3,0,1126,4,0,0,0,3,7,0,3,1,2,998,4,4,0,1,11,4,0,0,1,4,987,0,11,0,5,6,3,0,0,3,0,954,1,11,4,3,14,3,0,0,6,1,864,17,2,7,5,3,2,2,0,3,4,915,0,2,1,1,0,6,5,4,0,0,978,4,3,2,4,8,5,1,6,5,6,939,6,2,0,1,3,13,2,0,13,4,971
627,29,18,15.893991736228571,-4.064611441017931,969,0,5,0,2,3,5,2,6,3,0,1125,3,0,0,0,3,7,0,2,1,2,1000,4,4,0,1,14,4,0,0,1,4,985,0,11,0,4,6,3,0,0,3,0,952,1,11,4,3,14,3,0,0,8,1,865,18,2,6,5,2,2,2,0,3,4,915,0,2,1,1,0,6,5,5,0,0,975,4,4,2,5,8,5,1,6,5,6,939,6,2,0,1,3,14,2,0,14,4,971
628,29,19,15.948396314471747,-4.032333907780748,969,0,6,0,2,3,5,3,6,3,0,1125,3,0,0,0,3,7,0,2,1,2,1002,4,4,0,1,14,4,0,0,1,3,986,0,11,0,3,6,3,0,0,3,0,953,1,11,4,3,14,3,0,0,7,1,865,18,2,6,4,2,2,2,0,3,4,916,0,2,1,1,0,6,5,4,0,0,977,4,5,2,5,6,5,1,5,4,5,939,6,2,0,1,3,14,3,0,13,4,971
629,29,20,15.911409588101556,-3.9197984045410115,971,0,6,0,2,3,6,3,7,3,0,1125,3,0,0,0,3,7,0,2,1,2,1002,4,4,0,1,13,4,1,0,1,3,987,0,11,0,3,6,4,0,0,3,0,953,1,11,4,3,14,2,0,0,7,1,865,18,2,6,5,2,2,2,0,3,4,916,0,2,1,0,0,6,4,4,0,0,978,4,4,2,5,6,5,1,5,3,5,938,7,2,0,1,3,14,3,0,13,4,968
