vector,line,age,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
23,1,2,6.601553220382268,-3.6426109370449034,968,0,9,0,1,6,13,2,4,9,0,1115,6,0,1,2,3,9,4,5,0,2,950,10,7,1,3,25,6,2,0,3,15,953,0,22,0,1,17,10,0,0,8,2,922,0,8,5,4,14,4,1,0,17,2,835,16,3,15,6,4,4,7,2,13,9,910,0,7,1,1,2,10,9,3,1,1,948,8,10,2,8,24,10,4,8,4,4,901,5,1,0,3,7,29,8,0,31,8,947
24,1,3,6.777259154708203,-3.7682707596166862,969,0,8,0,1,4,9,2,5,9,0,1120,4,0,2,2,3,8,2,5,0,1,975,7,10,0,3,23,5,1,0,3,9,959,0,12,1,1,12,7,1,0,5,1,927,0,7,6,4,12,3,0,0,18,2,853,15,2,12,4,4,4,6,1,9,8,916,0,6,1,1,2,8,8,2,1,0,960,4,7,2,5,16,10,3,5,4,4,917,4,0,0,1,6,26,7,0,22,7,959
25,1,4,6.8904023698960986,-3.8633016556171147,968,0,6,0,1,4,8,2,5,8,0,1121,2,0,2,0,3,7,2,5,0,1,988,5,9,0,2,22,4,1,0,3,6,964,0,12,1,0,9,6,1,0,5,0,938,0,6,5,3,11,4,0,0,18,1,859,15,2,11,4,4,4,5,0,5,8,920,0,6,1,1,2,10,9,2,1,0,965,4,6,2,4,9,8,2,3,3,4,923,5,0,0,1,6,22,5,0,21,7,962
26,1,5,6.9981058937131175,-3.9409903722761683,968,0,6,0,1,4,8,2,5,6,0,1123,2,0,2,0,3,6,2,4,0,1,991,4,10,0,2,21,4,0,0,2,6,965,0,9,1,0,8,5,1,0,5,0,936,0,6,4,3,10,4,0,0,20,1,864,15,3,12,4,4,3,4,0,6,8,921,0,6,1,1,2,8,9,2,1,0,969,4,4,2,4,8,6,2,3,2,4,923,4,0,0,2,6,22,3,0,19,7,971
27,1,6,7.1018329329692635,-4.023063795012826,969,0,6,0,1,4,8,1,5,5,0,1124,2,0,1,0,3,5,2,3,0,1,997,5,10,0,2,18,3,0,0,2,4,967,0,10,1,1,7,5,1,0,5,0,939,0,6,1,3,11,3,0,0,18,1,863,15,4,10,3,3,3,3,0,6,8,921,0,6,1,1,1,9,9,3,1,0,972,3,3,3,4,6,4,2,3,2,4,929,3,0,0,0,7,19,3,0,22,6,975
28,1,7,7.199217579999832,-4.170157934407905,970,0,6,0,1,4,7,1,5,5,0,1123,2,0,1,1,3,5,1,3,0,1,999,4,10,0,3,16,2,0,0,2,5,966,0,8,1,1,7,4,1,0,5,0,942,0,6,1,3,11,3,0,0,18,1,867,17,4,9,4,1,2,2,0,6,6,919,0,6,1,1,1,8,9,3,1,0,976,3,3,3,6,5,4,2,2,2,4,932,3,1,0,0,9,16,3,0,20,6,975
29,1,8,7.256863499875453,-4.227902095479732,970,0,6,0,1,3,7,2,5,5,0,1122,2,0,1,1,3,5,1,3,0,2,1000,4,9,0,2,15,1,0,0,2,5,964,0,10,1,1,7,4,1,0,5,0,946,0,6,0,3,11,3,0,0,20,1,866,16,2,10,3,1,2,2,0,6,6,921,0,6,1,1,1,7,9,3,1,0,981,3,2,3,6,5,4,2,2,2,4,932,4,1,0,0,9,13,3,0,18,6,976
30,1,9,7.348615927178274,-4.304033841236673,970,0,6,0,1,3,6,2,5,5,0,1122,2,0,1,1,3,5,1,3,0,2,1001,4,8,0,2,15,1,0,0,2,5,963,0,12,1,1,8,4,1,0,4,0,948,0,6,1,2,10,3,0,0,21,1,865,15,2,9,4,1,2,2,0,6,5,922,0,6,1,1,1,8,9,3,1,0,980,3,2,3,6,4,4,2,2,3,4,933,4,1,0,0,9,12,3,0,18,6,976
31,1,10,7.533519743314421,-4.165708680285964,970,0,6,0,1,3,6,2,5,5,0,1122,2,0,1,1,3,5,1,3,0,2,1001,4,8,0,2,14,1,0,0,2,5,963,0,12,1,2,8,4,1,0,3,0,947,0,5,2,2,9,3,0,0,21,1,865,14,1,9,4,1,3,3,0,5,4,924,0,5,1,1,0,8,9,3,1,0,977,3,2,3,6,4,4,2,2,3,5,934,4,1,0,0,9,14,4,0,20,6,977
32,1,11,7.461135037080869,-4.443861838666057,970,0,6,0,1,3,6,2,6,5,0,1122,3,0,1,1,3,4,1,3,0,2,1001,5,8,0,1,14,1,0,0,2,5,966,0,12,1,2,8,4,1,0,3,0,948,0,4,2,2,9,3,1,0,19,1,865,14,1,9,4,1,3,3,0,5,4,927,0,4,1,1,0,7,7,2,1,0,978,3,2,3,5,4,4,2,2,2,5,934,3,1,0,0,9,14,4,0,20,6,978
33,1,12,7.70535298237316,-4.185010712331093,970,0,6,0,2,3,6,2,6,5,0,1122,3,0,1,1,3,3,1,3,0,2,999,3,8,0,1,14,1,0,0,2,6,969,0,13,1,3,8,4,1,0,3,0,950,0,4,2,2,9,3,1,0,19,1,865,14,1,8,4,1,3,3,0,4,3,927,0,4,1,1,0,8,6,2,1,0,979,3,2,3,5,4,4,2,3,2,5,935,3,1,0,0,9,12,3,0,19,6,978
34,1,13,7.766487766349467,-4.245593569458845,971,0,7,0,2,3,6,2,6,4,0,1122,3,0,1,1,3,3,1,3,0,2,998,3,8,0,1,14,1,0,0,2,6,969,0,13,1,3,9,4,1,0,3,0,949,0,3,3,2,11,2,1,0,20,1,864,14,1,7,4,1,3,3,0,4,3,928,0,4,1,1,0,8,6,2,2,0,979,3,2,3,5,4,4,2,3,2,5,935,3,1,0,0,8,13,3,0,18,6,977
35,1,14,7.5596529704904665,-4.709857632221825,972,0,7,0,2,3,6,2,6,4,0,1122,4,0,1,1,3,3,1,2,0,2,997,2,8,0,1,14,2,0,0,2,6,969,0,12,1,3,8,4,1,0,3,0,950,0,3,3,2,10,2,1,0,21,1,865,14,1,7,5,0,3,3,0,4,3,928,0,5,1,1,0,8,6,2,2,0,981,3,2,3,5,4,4,2,3,2,5,935,4,1,0,0,8,12,3,0,16,5,977
36,1,15,7.734477011958636,-4.682888411693011,971,0,7,0,3,3,6,2,6,4,0,1122,4,0,0,1,3,3,1,2,0,2,996,1,8,0,1,14,2,0,0,2,6,972,0,12,1,3,8,4,1,0,3,0,949,0,3,3,2,10,2,1,0,20,1,865,14,1,7,5,1,3,3,0,4,3,927,0,4,1,1,0,9,5,3,2,0,981,3,2,3,5,4,4,2,3,3,6,937,3,1,0,0,8,12,3,0,15,4,978
37,1,16,7.843697580311662,-4.612039622534435,971,0,8,0,3,3,6,2,6,4,0,1122,4,0,0,1,3,3,1,2,0,2,994,1,8,0,1,13,2,0,0,2,6,974,0,12,1,3,8,4,1,0,3,0,948,0,3,3,2,10,2,1,0,20,1,864,14,1,8,5,1,3,4,0,4,3,927,0,3,1,1,0,8,4,3,2,0,982,3,1,3,5,5,3,2,5,3,6,937,3,1,0,0,8,13,2,0,15,4,979
38,1,17,7.859825867209929,-4.674204960372134,971,0,7,0,4,3,6,2,6,4,0,1122,4,0,0,1,3,3,2,2,1,2,993,1,8,0,1,13,3,0,0,2,5,975,0,12,1,3,7,4,1,0,3,0,947,0,4,4,3,9,2,1,0,18,1,864,14,1,9,4,1,3,5,0,4,3,926,0,3,1,1,0,9,5,3,2,0,981,3,1,2,5,6,3,2,5,3,5,934,4,1,0,0,8,13,2,0,16,4,980
39,1,18,7.928170270031547,-4.644689272813828,971,0,7,0,4,3,6,2,4,4,0,1122,3,0,0,1,3,3,2,2,1,2,993,1,7,0,1,13,3,0,0,2,5,975,0,12,1,3,8,4,1,0,3,0,949,0,4,4,3,9,2,2,0,18,1,864,14,2,9,6,1,3,6,0,4,3,926,0,3,1,0,0,9,5,4,2,0,982,3,1,2,4,6,3,2,5,3,3,935,3,2,0,0,8,11,2,0,16,4,979
40,1,19,7.951652412192624,-4.667885480404825,971,0,8,0,4,3,6,2,4,4,0,1122,4,0,1,1,3,3,2,2,1,2,992,1,8,0,1,13,3,0,0,2,5,975,0,12,1,3,7,4,1,0,3,0,948,0,4,4,3,9,2,2,0,18,1,864,14,2,9,6,1,3,5,0,4,3,926,0,3,1,0,0,9,5,3,2,0,985,3,1,2,4,6,3,2,5,3,2,935,3,2,0,0,8,11,2,0,14,5,979
41,1,20,7.982941795986025,-4.678001604920372,971,0,8,0,4,2,7,1,4,4,0,1122,4,0,1,1,3,3,2,2,1,2,992,1,7,0,1,13,4,0,0,2,4,976,0,12,1,3,7,4,1,0,3,0,950,0,4,4,3,9,2,2,0,17,1,865,13,2,9,6,1,3,6,0,4,3,926,0,4,1,0,0,9,5,2,2,0,986,3,1,2,4,6,3,2,5,3,2,934,3,2,0,0,8,11,2,0,14,4,979
42,2,0,-3.5403505630919763,-2.446127852025038,268,28,235,198,50,171,283,211,168,142,35,73,34,165,63,45,62,16,117,39,152,6,139,112,180,147,60,308,202,227,9,19,3,14,14,15,2,67,5,18,4,0,14,3,0,2,0,4,4,1,43,203,116,39,294,135,152,128,127,178,95,5,50,76,28,79,76,7,71,5,0,1,1,2,0,1,0,1,1,0,42,23,104,70,109,80,63,35,104,49,332,777,336,331,244,217,260,251,175,350
43,2,1,-15.749480371690478,-11.788815512939834,961,0,11,4,1,6,11,2,5,9,0,1110,8,1,3,1,4,17,4,7,0,2,939,15,5,1,2,25,8,3,2,4,15,927,2,20,2,4,17,6,1,1,8,4,907,3,8,10,12,23,4,0,0,21,1,821,24,3,23,9,7,3,12,2,12,13,902,0,9,0,3,1,12,12,2,3,4,931,8,11,2,13,21,18,7,18,1,1,878,14,0,1,6,6,42,6,0,35,10,927
44,2,2,-15.945924166480339,-11.87812674817293,968,0,11,4,1,4,13,2,5,7,0,1112,5,1,0,1,3,14,3,6,0,2,963,14,7,0,1,25,5,1,2,4,13,945,0,14,2,3,18,5,1,1,5,2,919,1,7,8,8,21,2,0,0,18,0,851,19,2,15,7,4,2,8,1,13,8,907,0,6,1,2,2,9,9,2,1,3,942,7,9,1,12,16,11,5,6,3,1,900,12,0,0,2,5,35,6,0,31,7,940
45,2,3,-16.10396705507304,-11.950993474777935,970,0,11,1,1,3,13,2,5,6,0,1115,5,1,0,1,3,13,3,7,0,4,977,7,8,1,1,22,6,2,1,3,7,963,0,12,1,4,14,5,1,0,5,1,930,0,7,5,9,17,2,0,0,17,0,856,20,3,14,5,4,2,6,0,8,8,908,0,6,1,1,2,9,8,2,1,2,954,5,6,1,9,11,9,6,5,3,4,904,12,0,0,1,3,27,5,0,21,8,948
46,2,4,-16.250531630559358,-12.01363886382341,971,0,10,1,1,3,10,2,4,5,0,1121,5,1,0,1,3,14,3,7,0,4,982,7,8,1,2,18,7,2,0,2,6,966,0,13,1,4,11,4,1,0,5,1,937,0,5,4,8,17,1,0,0,17,0,856,21,1,14,3,4,1,5,0,7,6,911,0,5,1,1,1,9,7,2,1,2,961,4,7,2,6,9,7,5,6,3,5,912,9,0,0,1,3,22,5,0,19,6,954
47,2,5,-16.387110821488072,-12.065626281933003,971,0,10,1,1,3,9,2,4,3,0,1123,6,0,0,1,3,11,3,6,1,3,983,6,8,1,1,16,5,2,0,1,6,973,0,13,1,4,13,4,1,0,5,2,943,0,5,3,6,17,0,0,0,13,0,857,20,1,10,3,4,1,4,0,7,6,914,1,5,2,1,2,9,7,1,1,2,964,4,6,2,5,8,5,3,7,3,6,920,7,0,0,1,3,19,3,0,20,4,959
48,2,6,-16.52286421356871,-12.12705555812814,970,0,10,1,1,3,9,1,4,3,0,1124,6,0,0,1,3,10,3,6,1,3,985,7,8,1,1,15,5,2,0,1,6,974,0,14,1,3,10,5,1,0,5,1,945,0,5,4,6,17,0,0,1,12,0,856,20,1,10,4,5,1,4,0,5,7,914,1,4,2,1,2,9,8,1,1,2,969,4,5,2,4,6,5,3,7,3,6,924,6,0,0,0,2,19,2,0,18,4,959
49,2,7,-16.66806245614678,-12.191112843056661,970,0,10,1,1,3,9,0,4,3,0,1124,6,0,0,1,3,8,3,5,1,3,988,6,8,1,1,14,5,1,1,1,6,977,0,14,1,2,9,5,1,0,4,1,947,0,4,4,5,17,0,0,1,11,0,858,22,1,11,4,4,1,4,0,4,5,912,1,3,2,1,2,9,8,1,1,2,972,4,5,2,4,4,4,3,7,4,8,926,5,0,0,0,2,18,2,0,18,4,962
50,2,8,-16.751370634377043,-12.23678336046424,971,0,9,1,1,3,8,1,4,3,0,1124,6,0,0,0,3,7,3,3,1,3,992,6,7,1,1,13,5,1,1,2,5,977,0,15,1,4,8,5,1,0,3,1,949,0,3,4,5,17,0,0,1,11,0,861,21,0,11,4,4,1,4,0,4,5,915,0,3,2,0,2,9,8,1,1,2,975,4,4,1,3,3,4,3,5,4,7,927,3,1,0,0,2,17,1,0,17,4,967
51,2,9,-16.852446756862513,-12.262434639751756,972,0,8,1,1,2,7,1,4,3,0,1124,6,0,0,0,3,7,2,3,1,3,993,6,7,1,1,12,6,1,1,2,5,978,0,16,1,4,8,5,1,0,3,1,949,0,3,4,5,17,0,0,1,11,0,861,21,0,11,4,3,1,4,0,4,5,916,0,3,2,0,2,9,7,2,1,2,976,4,4,1,3,3,4,3,5,4,6,927,3,1,0,0,2,16,1,0,18,4,967
52,2,10,-16.949757212707535,-12.30923765019328,971,0,7,1,1,2,7,1,4,3,0,1123,6,0,0,0,3,7,2,3,1,3,995,6,7,1,1,11,6,1,1,2,4,978,0,16,1,4,7,5,1,0,4,1,949,0,4,4,5,16,0,0,1,11,0,861,20,0,11,4,3,2,3,0,3,5,917,0,3,2,0,2,9,7,2,1,1,977,4,4,2,3,3,4,3,5,4,6,928,3,1,0,0,2,17,1,0,18,4,968
53,2,11,-17.162409375631,-12.15381560095384,971,0,7,1,1,2,7,1,4,4,0,1123,4,0,0,0,3,7,2,3,0,3,996,5,7,1,1,12,3,1,0,2,5,978,0,16,1,4,7,5,1,0,4,1,950,0,3,4,5,15,2,0,1,11,0,860,19,0,11,5,3,2,3,0,3,6,919,0,3,1,0,2,9,5,3,1,1,976,3,4,1,3,3,6,3,5,4,6,932,2,2,0,0,3,15,1,0,18,4,969
54,2,12,-17.240200093860636,-12.185529105618953,972,0,7,0,1,2,7,1,5,4,0,1123,4,1,0,0,3,7,2,3,0,3,996,6,7,1,1,12,3,1,0,2,5,978,0,15,1,4,8,7,1,0,4,1,952,0,3,4,5,15,2,0,1,11,0,861,18,0,9,5,2,1,3,0,3,6,921,0,3,1,0,2,9,3,3,1,1,975,3,3,1,4,3,7,2,5,3,6,932,2,2,0,0,3,14,1,0,19,4,968
55,2,13,-17.206047623298204,-12.478871446009373,971,0,6,0,1,2,7,0,5,4,0,1124,4,1,0,0,3,7,2,3,1,2,997,6,7,1,1,11,3,1,0,3,5,978,0,15,1,4,8,8,1,1,4,1,956,0,3,4,5,15,2,0,2,11,1,862,17,0,9,4,2,1,3,0,2,5,922,0,2,1,0,1,8,3,2,1,1,978,3,4,1,3,3,7,2,5,3,6,933,2,2,0,0,3,11,1,0,18,4,967
56,2,14,-17.275932470674828,-12.498794003968976,971,0,6,0,1,2,6,0,5,4,0,1124,4,1,0,0,3,7,1,3,1,2,997,6,7,1,1,11,2,1,0,3,5,977,0,14,1,3,8,7,1,1,4,1,956,0,3,3,4,13,2,0,2,12,1,863,17,0,9,5,2,1,3,0,2,5,923,0,2,1,0,1,8,3,2,1,1,977,4,5,1,3,3,7,2,5,3,8,935,2,2,0,0,3,11,1,0,19,4,968
57,2,15,-17.404534056892942,-12.228195513200133,972,0,6,0,1,2,6,1,5,4,0,1125,4,1,0,0,3,7,1,3,1,1,997,6,7,1,1,11,2,1,0,3,5,975,0,14,1,3,8,5,1,1,4,1,957,1,3,3,5,13,2,0,2,12,1,865,16,0,10,5,1,1,3,0,2,4,924,0,2,1,0,1,8,4,2,0,1,977,4,5,1,3,3,8,1,4,3,7,933,2,2,0,0,3,11,1,0,19,4,970
58,2,16,-17.36667105866551,-12.586889611767146,973,0,6,0,1,2,7,0,5,4,0,1125,4,1,0,0,3,6,1,3,0,1,997,6,6,1,1,11,2,1,0,3,6,975,0,13,1,4,8,5,1,1,4,1,958,1,3,3,5,12,2,0,2,12,1,868,13,0,10,5,1,1,3,0,2,4,926,0,2,1,0,1,7,4,2,0,1,979,4,5,1,3,3,8,1,3,3,7,935,2,2,0,0,3,11,0,0,18,2,971
59,2,17,-17.402115443420225,-12.605996638789575,973,0,6,0,1,2,8,0,5,4,0,1124,4,1,0,0,3,5,1,3,1,1,997,6,6,1,1,11,2,1,0,3,6,974,0,13,1,4,8,5,1,1,4,1,957,1,4,2,5,12,2,0,2,14,1,868,13,0,10,4,1,1,3,0,2,4,924,0,2,1,0,2,7,4,2,0,1,982,4,5,1,3,3,7,1,3,3,7,935,2,1,0,0,3,12,0,0,17,2,972
60,2,18,-17.572313908335495,-12.370687976575498,972,0,6,0,1,2,7,0,5,4,0,1124,4,1,0,0,3,5,1,3,1,1,997,6,6,1,1,12,2,1,0,3,6,972,0,13,1,4,8,5,2,2,4,1,957,1,5,2,6,12,2,0,2,15,1,868,13,0,10,4,1,1,3,0,2,4,924,0,2,1,0,2,7,5,2,0,1,980,4,5,1,2,3,7,1,3,3,7,934,2,1,0,0,3,12,0,0,18,2,972
61,2,19,-17.600388494926218,-12.448989063498782,972,0,6,0,1,2,7,0,5,4,0,1124,3,1,0,0,3,6,1,3,1,1,998,6,6,1,1,12,2,1,0,3,6,971,0,14,1,4,8,5,2,2,4,1,956,1,5,2,5,12,2,0,2,16,1,867,13,0,11,4,1,1,4,0,2,4,924,0,1,1,0,2,7,5,2,0,1,983,4,5,1,2,2,7,1,3,3,5,935,2,1,0,0,3,13,0,0,16,2,972
62,2,20,-17.63068965264409,-12.467020432437169,972,0,6,0,2,2,7,0,4,4,0,1123,4,1,0,0,3,6,1,3,1,1,998,6,6,1,1,12,2,0,0,3,6,971,0,14,1,3,8,6,2,2,4,1,955,1,5,3,5,11,2,0,2,15,1,867,12,0,11,4,1,1,4,0,2,4,925,0,1,1,0,2,6,5,2,0,1,983,4,5,1,3,2,7,1,3,3,5,936,2,1,0,0,4,13,0,0,16,2,973
63,3,0,-3.487004367257189,-2.2898776795851603,95,3,63,24,76,25,74,60,43,89,1,76,8,2,1,4,0,2,4,4,61,268,276,167,98,158,104,208,35,198,154,338,184,306,116,178,151,133,294,54,143,33,99,82,79,127,118,35,34,44,122,62,67,61,26,58,26,203,153,141,26,2,43,51,8,48,55,38,34,58,47,57,56,21,82,10,30,21,30,28,10,35,15,24,90,19,22,100,57,162,321,261,221,272,406,265,378,228,290,231
64,3,1,-11.113402093327876,-4.857532444467857,962,0,7,3,1,9,13,1,8,11,0,1111,10,1,2,2,3,13,11,7,2,2,935,17,3,4,2,25,6,4,1,4,15,919,0,26,1,6,16,10,0,1,9,2,901,5,11,10,7,23,4,0,0,29,1,814,20,1,20,9,7,3,14,2,13,9,900,0,12,0,1,2,12,12,2,3,3,932,7,9,3,12,22,15,7,14,5,2,879,6,0,0,8,10,52,6,0,38,8,930
65,3,2,-11.342129863265201,-4.9471919876067565,964,0,6,1,1,8,13,3,6,8,0,1115,8,0,1,1,3,10,7,8,0,3,956,12,5,2,2,24,2,2,0,2,12,943,0,20,0,5,12,9,0,0,7,3,919,0,9,6,6,18,6,0,0,24,2,836,19,1,18,8,5,3,11,1,12,8,906,0,6,1,1,2,10,10,1,2,2,951,6,6,3,10,19,9,6,10,4,1,905,4,1,0,3,7,35,5,0,27,6,945
66,3,3,-11.541305684925362,-5.0312212184662535,966,0,6,0,1,3,10,3,6,5,0,1116,7,0,0,1,3,8,6,7,0,3,971,7,6,0,1,24,4,1,0,3,7,967,0,16,0,4,9,9,0,0,7,1,930,0,6,5,6,18,6,0,0,11,1,848,17,1,12,8,3,3,8,0,10,10,915,1,7,1,1,2,9,10,2,1,2,961,6,5,3,8,14,8,4,8,4,1,913,5,1,0,3,6,28,5,0,20,5,950
67,3,4,-11.725746446934933,-5.113092825242953,968,0,6,1,1,3,12,3,6,6,0,1116,7,0,0,1,3,8,4,7,1,3,976,6,6,0,1,21,4,1,0,3,8,968,0,14,0,4,7,8,0,0,7,1,937,0,5,3,6,20,5,0,1,12,1,856,17,1,9,5,1,4,6,0,9,6,916,1,7,1,1,2,9,8,2,1,1,965,5,4,3,7,10,8,4,8,3,1,923,2,1,0,2,6,22,3,0,21,3,955
68,3,5,-11.890477069254839,-5.178547847099867,968,0,6,1,1,3,11,3,6,4,0,1116,7,0,0,0,3,8,3,7,1,3,983,5,5,0,0,21,3,1,0,3,5,974,0,13,1,2,4,8,0,0,7,0,944,0,5,3,5,20,4,0,1,10,0,860,17,1,11,4,2,3,6,0,7,6,918,1,7,1,0,2,7,7,2,1,1,968,5,4,3,8,8,7,2,7,2,2,927,2,2,0,2,6,21,2,0,19,3,958
69,3,6,-12.027833430161447,-5.213326535288522,969,0,6,0,1,3,11,3,5,4,0,1118,7,0,0,0,3,7,3,7,1,3,982,5,5,0,0,19,3,1,0,3,6,978,0,11,1,2,4,5,0,0,7,0,948,0,5,2,4,18,3,1,1,8,0,863,18,1,10,5,2,2,6,0,5,7,917,1,7,1,0,2,7,6,2,1,1,973,5,4,4,6,8,6,2,6,2,2,931,0,1,0,2,7,19,1,0,18,2,964
70,3,7,-12.195436508637952,-5.218815549901909,969,0,5,0,1,3,11,3,5,4,0,1119,7,0,0,0,3,7,1,7,1,3,988,4,5,0,0,19,4,1,0,2,6,978,0,11,1,2,4,5,0,0,6,0,951,0,5,1,4,16,3,1,1,8,0,864,18,1,11,5,2,2,5,0,5,7,917,1,7,1,0,2,6,7,2,1,1,975,4,4,4,6,6,6,2,5,2,2,932,0,1,0,2,7,16,1,0,17,2,966
71,3,8,-12.226326949002402,-5.472695521743023,969,0,5,0,1,4,11,3,5,3,0,1121,5,1,0,0,3,7,1,7,1,3,994,4,4,0,0,17,4,1,0,2,5,979,0,10,1,3,4,5,0,0,5,0,952,0,4,1,3,15,3,1,1,9,0,865,18,1,8,7,2,2,4,0,4,7,919,1,6,1,0,1,6,6,2,1,1,977,4,4,4,5,5,5,2,4,1,2,937,1,1,0,2,6,17,1,0,16,2,965
72,3,9,-12.273615968439639,-5.586364122196302,968,0,5,0,1,4,10,3,5,3,0,1120,5,0,0,0,3,7,1,7,1,3,994,3,4,1,0,16,4,1,0,2,5,979,0,8,1,3,5,4,1,0,5,0,952,1,4,1,2,14,3,1,1,11,0,866,18,1,7,7,2,2,4,0,4,6,920,1,6,1,0,1,6,6,2,1,1,979,4,5,4,6,5,5,2,4,1,3,938,1,1,0,2,6,17,1,0,14,2,966
73,3,10,-12.325175193156346,-5.641712984633872,967,0,6,0,1,3,7,3,5,3,0,1120,5,1,0,0,3,6,1,6,1,4,997,3,4,1,0,16,4,1,0,1,5,978,0,10,1,3,5,4,1,0,4,0,953,1,6,1,1,14,4,1,1,11,0,864,20,1,7,6,2,2,3,0,4,6,919,1,6,1,0,1,6,6,2,1,1,981,4,5,4,6,4,5,2,5,1,2,939,1,1,0,1,6,16,1,0,14,2,968
74,3,11,-12.594975785214272,-5.211546675463072,969,0,6,0,1,3,6,2,5,3,0,1121,5,1,0,0,3,6,1,6,1,4,996,3,4,1,0,15,4,1,0,1,5,980,0,9,1,3,5,3,1,0,4,0,954,1,6,1,1,13,4,2,1,10,0,866,17,1,7,6,2,2,3,0,3,5,923,1,6,1,0,0,7,5,2,1,1,985,4,4,2,5,4,5,2,5,1,2,939,3,1,0,1,6,16,1,0,12,2,969
75,3,12,-12.67151499802767,-5.236905359971717,969,0,5,0,2,3,7,3,5,3,0,1121,5,1,0,0,3,5,1,5,1,4,997,3,4,1,0,14,4,1,1,1,5,979,0,8,1,2,5,4,1,0,4,0,955,1,5,0,1,12,3,2,1,11,0,868,18,1,7,6,2,2,3,0,3,5,922,1,5,1,0,0,7,5,3,1,1,988,4,4,2,5,4,5,2,5,1,2,940,2,1,0,1,6,13,0,0,12,2,971
76,3,13,-12.733198826927596,-5.271693893550772,969,0,5,0,2,4,6,3,5,3,0,1121,5,1,0,0,3,5,1,5,1,4,998,3,3,1,0,14,4,1,1,1,5,980,0,8,1,2,6,4,1,0,4,0,953,1,5,1,1,11,3,2,1,11,0,867,18,1,8,6,2,2,3,0,4,5,923,1,4,1,0,0,6,5,3,1,1,988,4,4,2,5,4,5,2,5,1,2,937,2,1,0,1,5,15,0,0,11,4,972
77,3,14,-12.63061133746811,-5.69418879204907,968,0,4,0,2,4,5,3,4,3,1,1121,5,1,0,0,3,5,1,5,1,4,998,3,3,1,0,14,4,1,1,1,6,981,0,9,1,2,6,4,1,0,4,0,953,1,5,1,1,10,3,2,1,11,0,865,19,1,10,5,2,2,3,0,4,5,922,1,4,1,0,0,4,6,3,1,2,988,4,4,2,5,5,4,2,6,1,2,935,2,1,0,2,4,15,0,0,11,5,974
78,3,15,-12.732495602475154,-5.651268155289553,969,0,4,0,2,4,5,3,4,2,1,1121,5,1,0,0,3,5,1,5,0,4,998,3,3,1,0,14,4,1,1,1,6,981,0,9,1,2,6,4,1,0,4,0,953,1,7,1,1,10,3,2,1,11,0,865,19,1,10,5,2,2,3,0,4,5,921,1,4,1,0,0,4,6,3,1,1,988,4,4,2,5,5,4,2,5,1,2,935,2,1,0,2,4,15,1,0,11,5,975
79,3,16,-12.790362252617536,-5.627641089493442,969,0,4,0,2,4,5,3,4,2,1,1121,5,1,0,0,3,5,1,4,0,4,998,3,3,1,0,12,4,1,1,1,6,981,0,9,1,2,6,4,1,0,4,0,952,1,7,1,1,10,3,2,1,11,0,865,17,0,10,5,2,2,3,0,4,4,923,1,4,1,0,0,3,6,3,1,1,990,4,4,2,5,6,4,2,7,1,2,934,2,1,0,2,4,16,0,0,12,6,976
80,3,17,-12.84743600538082,-5.564808618027151,970,0,4,0,2,4,5,3,4,2,1,1120,5,1,0,0,3,5,1,3,0,4,998,3,3,1,1,12,4,1,1,2,6,979,0,8,1,1,6,4,1,0,4,0,953,1,7,1,1,9,3,2,1,12,0,866,15,0,10,5,1,2,3,0,4,4,924,1,4,1,0,0,3,6,3,1,1,991,4,4,2,5,6,5,2,7,1,2,935,3,1,0,2,4,15,0,0,12,5,977
81,3,18,-12.862241661100391,-5.596863984776401,972,0,4,0,2,4,5,2,4,2,1,1120,5,1,0,0,3,5,1,3,0,4,998,4,2,1,0,12,4,1,1,2,6,978,0,9,1,2,5,4,1,0,4,0,952,1,7,1,1,9,1,2,1,12,0,866,14,0,9,5,1,2,3,0,4,4,926,1,4,1,0,0,3,6,3,1,1,990,4,5,2,5,6,5,2,6,1,2,936,2,1,0,2,4,17,0,0,13,6,977
82,3,19,-12.865104936814635,-5.657345274578139,972,0,4,0,2,4,4,2,4,2,1,1120,5,1,0,0,3,5,1,3,0,4,998,4,3,1,0,11,5,1,1,2,6,978,0,8,1,3,6,3,1,0,4,0,952,1,8,1,1,9,1,2,1,12,0,866,14,0,8,5,1,2,3,0,4,4,926,1,4,1,0,1,3,6,3,1,1,989,4,5,2,4,6,4,1,7,1,2,935,3,1,0,2,5,17,0,0,14,6,977
