"x","y","line","user","task","algo","accuracy","autoCompleteUsed","rankOfPredictionUsed","difficulty","supported","training","isGroundTruth","turnedPrediction","selectedCoordsNorm","multiplicity[1;129]"
0.5235033679073738,-2.6860128707329722,4,"5a4a8802817d1800018d2549","out_easy_task_2","out_easy_task_2",0.061224489795918324,True,2,"easy",True,False,False,False,"[{'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.6955774546779485, 'y': 0.6046213356880543}, {'x': 0.6473610981066581, 'y': 0.6794140579038649}, {'x': 0.5718491315747247, 'y': 0.7055288577404498}, {'x': 0.5776037279524499, 'y': 0.7103129491327762}, {'x': 0.5935369254205303, 'y': 0.6820823024911947}, {'x': 0.5655300253459189, 'y': 0.7194999827773464}, {'x': 0.4436092846944039, 'y': 0.7997335528653187}, {'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.17946253796622497, 'y': 0.44544347142131613}, {'x': 0.24403950215812312, 'y': 0.4114129168079452}, {'x': 0.42389474153924944, 'y': 0.3894318639767946}, {'x': 0.549153928133318, 'y': 0.38006936730981167}]",1
0.09871011604901234,5.713969746387784,4,"5a4a8802817d1800018d2549","out_easy_task_2","out_easy_task_2",0.061224489795918324,True,2,"easy",True,False,False,True,"[{'x': 0.39561241507330563, 'y': 0.4558204700030008}, {'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.6955774546779485, 'y': 0.6046213356880543}, {'x': 0.11795807489737338, 'y': 0.4631154673383944}, {'x': 0.4150704527276983, 'y': 0.4524345060895437}, {'x': 0.2447922345156678, 'y': 0.7577433191212274}, {'x': 0.16537269141644909, 'y': 0.6214068120606885}, {'x': 0.06464148331064822, 'y': 0.6476825647339846}, {'x': 0.3713136256814892, 'y': 0.7679446256236034}, {'x': 0.28847868181809566, 'y': 0.45304407335382035}, {'x': 0.11373677655321222, 'y': 0.5367271723485346}, {'x': 0.4158946852582063, 'y': 0.6929302659915282}, {'x': 0.2213836534955026, 'y': 0.4533214207205894}, {'x': 0.549153928133318, 'y': 0.38006936730981167}, {'x': 0.552626653709554, 'y': 0.6871356827264111}, {'x': 0.5935369254205303, 'y': 0.6820823024911947}, {'x': 0.4705144900336774, 'y': 0.7298561363698542}, {'x': 0.42389474153924944, 'y': 0.3894318639767946}, {'x': 0.4436092846944039, 'y': 0.7997335528653187}, {'x': 0.4342047404700184, 'y': 0.7640739602530604}, {'x': 0.16019549640905711, 'y': 0.5936430267967371}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.32553136115304504, 'y': 0.7191526158621896}, {'x': 0.6220972951938879, 'y': 0.5035429254144054}, {'x': 0.31775993974584793, 'y': 0.7070629359237135}, {'x': 0.3375922445610397, 'y': 0.41615122948217603}, {'x': 0.45479207308604364, 'y': 0.674754879032217}, {'x': 0.12926813978903057, 'y': 0.6002677274022125}, {'x': 0.5697748116129483, 'y': 0.5415363611548027}, {'x': 0.5718491315747247, 'y': 0.7055288577404498}, {'x': 0.405992219871599, 'y': 0.6982182009878509}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.6473610981066581, 'y': 0.6794140579038649}, {'x': 0.1880902001074384, 'y': 0.6017425534641333}, {'x': 0.47000755350769, 'y': 0.6774676948260325}, {'x': 0.5655300253459189, 'y': 0.7194999827773464}, {'x': 0.2679589126048086, 'y': 0.46087244971950897}, {'x': 0.09781321512546552, 'y': 0.6019240879267386}, {'x': 0.557754013903361, 'y': 0.4534780003934494}, {'x': 0.5776037279524499, 'y': 0.7103129491327762}, {'x': 0.17946253796622497, 'y': 0.44544347142131613}, {'x': 0.6032124830307268, 'y': 0.5248122551243161}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.6093146822677126, 'y': 0.5084320188886953}, {'x': 0.4004165126908256, 'y': 0.7237277359831428}, {'x': 0.4669427614438883, 'y': 0.7012126939844486}, {'x': 0.24403950215812312, 'y': 0.4114129168079452}, {'x': 0.36291431885253783, 'y': 0.7231743665290663}, {'x': 0.4583509296282863, 'y': 0.4256153968110376}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",2
-0.35123478688955084,-0.557430187701331,5,"5d1a69d8f97a18001977e0d7","out_easy_task_2","out_easy_task_2",0.4285714285714286,False,-1,"easy",False,False,False,"N/A","[]",129
-0.3133381936011462,1.6759713964048737,5,"5d1a69d8f97a18001977e0d7","out_easy_task_2","out_easy_task_2",0.4285714285714286,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}]",105
-5.818771457143549,2.2487395418429226,5,"5d1a69d8f97a18001977e0d7","out_easy_task_2","out_easy_task_2",0.4285714285714286,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",91
-6.737934348633508,2.3040865171887748,5,"5d1a69d8f97a18001977e0d7","out_easy_task_2","out_easy_task_2",0.4285714285714286,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}, {'x': 0.6293289359671014, 'y': 0.0}]",58
-7.092383196608399,2.4597510167047565,5,"5d1a69d8f97a18001977e0d7","out_easy_task_2","out_easy_task_2",0.4285714285714286,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}]",18
-2.970500611641766,-3.0972830281428814,5,"5d1a69d8f97a18001977e0d7","out_easy_task_2","out_easy_task_2",0.4285714285714286,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.549153928133318, 'y': 0.38006936730981167}]",1
-2.9500298977077026,-3.0797790693634255,5,"5d1a69d8f97a18001977e0d7","out_easy_task_2","out_easy_task_2",0.4285714285714286,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.549153928133318, 'y': 0.38006936730981167}, {'x': 0.6955774546779485, 'y': 0.6046213356880543}]",1
-1.5971679957433902,-0.1270775347713113,5,"5d1a69d8f97a18001977e0d7","out_easy_task_2","out_easy_task_2",0.4285714285714286,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.549153928133318, 'y': 0.38006936730981167}, {'x': 0.6955774546779485, 'y': 0.6046213356880543}, {'x': 0.2865741971375917, 'y': 0.8183616672485627}]",1
