,0,1
0,10.102496,26.567085
1,10.017036,26.6365
2,12.813954,3.942135
3,6.0953245,7.554142
4,12.646986,1.8230306
5,5.049099,5.3990273
6,13.101893,1.0054218
7,13.841662,1.5059574
8,13.26556,0.6371508
9,12.160352,-1.4849197
10,12.685536,-2.2635434
11,14.700146,-1.1111923
12,13.97286,-0.033704206
13,14.6053095,-1.1339962
14,13.908648,-0.13803506
15,14.685217,-0.81951845
16,13.0012865,-2.1929233
17,13.478668,-1.8192176
18,13.520762,-1.0962316
19,14.273866,-1.2017853
20,13.199035,-2.8053575
21,14.275745,-1.3586333
22,13.624049,-1.8147314
23,14.20952,-1.4321067
24,13.444336,-2.4391572
25,13.776853,-2.0832167
26,14.34031,-0.82230175
27,13.443215,-2.949815
28,14.216969,-1.0342618
29,14.5597925,-1.0385141
30,14.399708,-0.69562966
31,13.583343,-3.0301874
32,14.541366,-1.0493912
33,14.499338,-2.633591
34,14.453256,-0.8011683
35,14.379184,-3.0089567
36,15.188114,-2.57873
37,14.452984,-2.787616
38,15.32471,-2.7829976
39,13.542137,-3.0449572
40,15.636574,-2.1681855
41,14.730134,-1.0202479
42,15.972797,-2.2397048
43,14.7753525,-0.92526025
44,15.844507,-2.4325905
45,14.782067,-0.9270771
46,15.784255,-2.2905257
47,14.727748,-0.9326588
48,14.883255,-2.5447137
49,14.578595,-0.99563724
50,14.925752,-2.750389
51,14.550422,-1.1270951
52,15.2699175,-2.8094785
53,13.287503,-2.1974912
54,13.367988,-2.5957394
55,14.445098,-1.8104631
56,13.470294,-2.4672544
57,13.912075,-1.7638773
58,15.093598,-2.880565
59,14.310249,-1.7745152
60,13.3992405,-2.8882036
61,14.406699,-1.8314054
62,15.199781,-2.7589698
63,13.140804,-2.3945787
64,15.083202,-2.8718143
65,14.492258,-1.9206718
66,15.169071,-3.0089045
67,14.221636,-2.012747
68,15.154809,-2.9631424
69,14.866091,-2.041479
70,15.328013,-3.0537488
71,14.759305,-1.7180061
72,15.490283,-3.2292552
73,14.787383,-2.0531409
74,15.446564,-3.0363104
75,13.70576,-2.1706395
76,14.988767,-4.759903
77,14.712805,-2.584776
78,14.885018,-4.5617867
79,14.455884,-2.8110235
80,14.289657,-3.3224254
81,15.1186285,-3.052093
82,14.139555,-3.519868
83,14.417096,-2.9092603
84,14.672619,-3.5660114
85,15.404975,-2.9378557
86,14.573087,-3.3708277
87,13.532612,-2.987953
88,14.339666,-3.2972295
89,14.790575,-2.905284
90,14.611549,-3.2213812
91,13.516566,-3.4438856
92,14.006246,-3.13658
93,14.282449,-6.4754925
94,14.062666,-3.3399146
95,14.915035,-3.1790216
96,14.840499,-3.7963974
97,15.058921,-2.846808
98,16.624826,-4.9610476
99,15.468047,-5.8770795
100,16.627628,-4.922392
101,15.228378,-6.073475
102,16.719854,-5.1220345
103,14.594315,-6.1940427
104,15.036018,-4.1467476
105,15.538068,-6.0141015
106,16.388361,-4.305442
107,15.044157,-5.729313
108,16.431763,-4.112933
109,15.916071,-5.7911987
110,17.247534,-4.791135
111,16.308376,-5.929907
112,17.585167,-4.8422656
113,15.303119,-6.5570846
114,15.647001,-3.8302095
115,15.831967,-6.0525093
116,17.299906,-4.675319
117,16.401035,-5.7624617
118,16.998304,-4.54248
119,15.740177,-5.624936
120,16.02956,-4.122416
121,15.16715,-6.20894
122,14.883918,-3.6764097
123,15.590124,-5.8297057
124,17.413073,-4.937841
125,15.741795,-5.3844714
126,17.352968,-4.8283386
127,14.660076,-5.225357
128,16.05879,-4.8615923
129,14.867994,-6.2695103
130,14.59442,-4.283893
131,15.175503,-6.7599745
132,17.023495,-4.950323
133,10.06322,26.597477
134,9.966439,26.692572
135,12.760319,3.8903809
136,6.0961113,7.5535746
137,12.542229,2.632495
138,11.648523,3.452565
139,2.514841,3.239768
140,13.773126,1.8723061
141,12.978785,0.4459928
142,13.921573,1.1444372
143,12.987623,0.3461241
144,13.937293,0.73832965
145,13.158503,0.13563977
146,13.891554,0.7723928
147,13.252241,-0.20694214
148,14.033925,0.086836606
149,13.3479185,-0.6583215
150,13.20334,-1.7756761
151,13.780267,-0.7775315
152,14.230529,-0.7001981
153,13.87378,-0.8972712
154,14.22575,-0.6700271
155,13.886905,-1.0273228
156,14.229168,-0.7910719
157,13.279678,-2.1474154
158,14.208056,-0.8584435
159,13.27171,-2.2027407
160,14.327251,-0.93331844
161,14.143925,-1.0976273
162,14.286724,-0.9586497
163,14.060239,-1.0891267
164,13.330429,-2.0429828
165,13.194407,-2.3138766
166,13.310143,-2.1002498
167,14.046616,-1.198042
168,14.79571,-1.348271
169,14.159652,-1.258733
170,14.450523,-0.9859306
171,14.184845,-1.2697053
172,13.511325,-2.5751157
173,14.1944,-1.3963112
174,14.748457,-1.290237
175,14.410965,-1.3590087
176,15.040296,-1.5727575
177,14.8682995,-1.4182665
178,15.20945,-1.5289565
179,15.012103,-1.5864593
180,15.310357,-1.5642928
181,15.184366,-1.632695
182,15.337217,-1.575234
183,15.366169,-1.7641482
184,15.267022,-1.7562915
185,15.466091,-1.9361036
186,15.461125,-1.9138143
187,15.376326,-1.9838347
188,15.614818,-1.8272668
189,15.67135,-2.1308255
190,15.404295,-1.6594204
191,15.616673,-2.0577478
192,15.559404,-2.0616395
193,15.6090145,-2.0473173
194,15.148476,-1.5907202
195,15.521857,-2.170953
196,15.515156,-1.8757346
197,14.846474,-2.2801986
198,15.270217,-1.6592057
199,15.611793,-2.0057702
200,15.370014,-1.6464044
201,15.554755,-1.942999
202,14.627552,-1.4009434
203,13.924815,-2.9698741
204,15.056504,-1.627355
205,15.591081,-2.0030315
206,13.633626,-2.772194
207,15.733582,-2.1155078
208,15.41006,-1.7509854
209,15.770771,-2.2770953
210,15.470747,-2.0085928
211,15.611017,-2.4475586
212,15.277833,-1.9554183
213,16.58169,-4.646416
214,13.817396,-2.9603622
215,16.735674,-4.7026505
216,16.171614,-2.9481337
217,15.697745,-5.970839
218,16.202545,-2.7731483
219,15.5383005,-5.3104815
220,16.048147,-2.8747354
221,15.566623,-5.1877136
222,16.109444,-2.9728112
223,15.687467,-5.1373477
224,15.511828,-2.8715155
225,13.314845,-3.0359113
226,13.516751,-2.7311437
227,13.414949,-3.20843
228,13.600945,-2.7899666
229,16.066502,-5.4369593
230,16.50064,-3.3693073
231,16.011034,-5.422288
232,14.801568,-3.1088953
233,15.828291,-5.553397
234,13.921972,-3.1162078
235,14.634938,-5.347033
236,13.960284,-2.8671358
237,13.5624695,-3.2119997
238,14.227267,-3.0536509
239,15.391098,-4.5338044
240,16.31038,-3.529567
241,13.544185,-3.048945
242,13.790746,-2.9095812
243,15.361182,-4.094701
244,15.004043,-2.9587307
245,14.704495,-3.708382
246,15.21877,-2.881135
247,15.909051,-4.9525614
248,14.271489,-3.068339
249,15.283646,-4.382015
250,14.996318,-2.7703538
251,14.0228405,-3.8368378
252,14.625382,-2.8067162
253,14.225212,-3.9441538
254,14.33588,-3.7959723
255,14.118369,-3.7443016
256,14.483605,-4.6323647
257,14.303106,-4.142996
258,14.374888,-4.5031586
259,14.257436,-3.9530964
260,14.468263,-4.668523
261,14.544203,-4.240277
262,14.588631,-4.56964
263,14.710834,-4.269121
264,14.957769,-4.65765
265,14.844395,-4.457171
266,14.689128,-4.5539937
267,14.891107,-4.431382
268,14.698986,-3.5424554
269,14.772718,-4.4402113
270,10.065287,26.63748
271,10.03823,26.607552
272,12.760982,3.8899992
273,6.096032,7.5536366
