x,y,line,cp,algo,oldage,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1
45.267141300588385,-11.209175630781912,0,1,0,0,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
37.011242122751874,-12.363877161742705,0,0,0,1,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wn,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,,wr
36.45882711154758,-8.254054680599783,0,0,0,2,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,,bp,bp,,,,,,,,,,,,,,bp,,,,,,,,,,,,,,,,wn,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,,wr
27.936862759879947,-20.64855007158138,0,0,0,3,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,,bp,bp,,,,,,,,,,,,,,bp,,,,,,wp,,,,,,,,,,wn,,,wp,wp,wp,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,,wr
24.984260331776724,-21.048902864639807,0,0,0,4,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,bp,,bp,bp,,,,,,bn,,,,,,,,bp,,,,,,wp,,,,,,,,,,wn,,,wp,wp,wp,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,,wr
25.98807390980114,-16.01239136369593,0,0,0,5,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,bp,,bp,bp,,,,,,bn,,,,,,,,bp,,,,,,wp,,,,,,,,,,wn,wp,,wp,wp,wp,,wp,wp,,wp,wr,wn,wb,wq,wk,wb,,wr
28.025841566335117,-12.641641946397545,0,0,0,6,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,bp,,,bp,,,,,,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,,,wn,wp,,wp,wp,wp,,wp,wp,,wp,wr,wn,wb,wq,wk,wb,,wr
27.02114256775644,-10.107352246812633,0,0,0,7,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,bp,,,bp,,,,,,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,,,wn,wp,,wp,wp,wp,,wp,wp,wb,wp,wr,wn,wb,wq,wk,,,wr
28.42297519032142,-8.85374892058255,0,0,0,8,br,bn,bb,bq,bk,,,br,bp,bp,bp,bp,bp,,bb,bp,,,,,,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,,,wn,wp,,wp,wp,wp,,wp,wp,wb,wp,wr,wn,wb,wq,wk,,,wr
32.307045100486704,-0.7626328674291595,0,0,0,9,br,bn,bb,bq,bk,,,br,bp,bp,bp,bp,bp,,bb,bp,,,,,,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,,,wn,wp,,wp,wp,wp,,wp,wp,wb,wp,wr,wn,wb,wq,,wr,wk,
28.205686207358685,4.588125892282451,0,0,0,10,br,bn,bb,bq,,br,bk,,bp,bp,bp,bp,bp,,bb,bp,,,,,,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,,,wn,wp,,wp,wp,wp,,wp,wp,wb,wp,wr,wn,wb,wq,,wr,wk,
28.04845364974611,6.182429177229348,0,0,0,11,br,bn,bb,bq,,br,bk,,bp,bp,bp,bp,bp,,bb,bp,,,,,,bn,bp,,,,,,,bp,,,,,wp,wp,,,,,,,,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,wn,wb,wq,,wr,wk,
27.075782712494973,6.125595130987275,0,0,0,12,br,bn,bb,bq,,br,bk,,bp,bp,bp,bp,,,bb,bp,,,,,bp,bn,bp,,,,,,,bp,,,,,wp,wp,,,,,,,,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,wn,wb,wq,,wr,wk,
25.071175989318263,9.064542260622343,0,0,0,13,br,bn,bb,bq,,br,bk,,bp,bp,bp,bp,,,bb,bp,,,,,bp,bn,bp,,,,,,,bp,,,,,wp,wp,,,,,,,wn,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,,wb,wq,,wr,wk,
24.85252925058597,9.176547491110753,0,0,0,14,br,bn,bb,bq,,br,bk,,bp,bp,bp,,,,bb,bp,,,,,bp,bn,bp,,,,,bp,,bp,,,,,wp,wp,,,,,,,wn,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,,wb,wq,,wr,wk,
24.813319921478794,8.982931394266167,0,0,0,15,br,bn,bb,bq,,br,bk,,bp,bp,bp,,,,bb,bp,,,,,bp,bn,bp,,,,,bp,,bp,,,,,wp,wp,,wb,,,,,wn,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
10.523830364678835,-13.758369241253869,0,0,0,16,br,bn,bb,bq,,br,bk,,bp,bp,,,,,bb,bp,,,bp,,bp,bn,bp,,,,,bp,,bp,,,,,wp,wp,,wb,,,,,wn,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
10.864878607831798,-14.06729192630187,0,0,0,17,br,bn,bb,bq,,br,bk,,bp,bp,,,,,bb,bp,,,bp,,bp,bn,bp,,,,wp,bp,,bp,,,,,,wp,,wb,,,,,wn,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
11.102619196495112,-14.28873128511629,0,0,0,18,br,,bb,bq,,br,bk,,bp,bp,,bn,,,bb,bp,,,bp,,bp,bn,bp,,,,wp,bp,,bp,,,,,,wp,,wb,,,,,wn,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
11.221121429263082,-14.368656823575968,0,0,0,19,br,,bb,bq,,br,bk,,bp,bp,,bn,,,bb,bp,,,bp,wb,bp,bn,bp,,,,wp,bp,,bp,,,,,,wp,,,,,,,wn,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
