x,y,line,cp,algo,oldage,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1,multiplicity,age,groupLabel,clusterProbability
18.52444600743526,-25.576413343150623,22,0,0,6,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,,,bp,bp,,,,,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,,,wn,,,wp,wp,wp,,wp,wp,wp,wp,wr,wn,,wq,wk,wb,,wr,1,0.05504587155963303,-1,0
17.89129352398737,-25.524214994269023,22,0,0,7,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,,,bp,bp,,,,,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,,,wn,,wp,wp,wp,wp,,wp,wp,wp,,wr,wn,,wq,wk,wb,,wr,1,0.06422018348623854,-1,0
17.33553184483058,-25.681222978408048,22,0,0,8,br,bn,bb,bq,bk,bb,,br,bp,,bp,bp,,,bp,bp,,bp,,,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,,,wn,,wp,wp,wp,wp,,wp,wp,wp,,wr,wn,,wq,wk,wb,,wr,1,0.07339449541284404,-1,0
16.965100721759917,-26.238866695061315,22,0,0,9,br,bn,bb,bq,bk,bb,,br,bp,,bp,bp,,,bp,bp,,bp,,,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,,wp,wn,,wp,wp,wp,wp,,,wp,wp,,wr,wn,,wq,wk,wb,,wr,1,0.08256880733944955,-1,0
16.575597738838,-26.523232032626463,22,0,0,10,br,bn,,bq,bk,bb,,br,bp,bb,bp,bp,,,bp,bp,,bp,,,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,,wp,wn,,wp,wp,wp,wp,,,wp,wp,,wr,wn,,wq,wk,wb,,wr,1,0.09174311926605505,-1,0
16.265513324351627,-26.785365631430675,22,0,0,11,br,bn,,bq,bk,bb,,br,bp,bb,bp,bp,,,bp,bp,,bp,,,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,wb,wp,wn,,wp,wp,wp,wp,,,wp,wp,,wr,wn,,wq,wk,,,wr,1,0.10091743119266056,-1,0
16.089494670582134,-26.937485712841056,22,0,0,12,br,bn,,bq,bk,bb,,br,bp,bb,bp,,,,bp,bp,,bp,,bp,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,wb,wp,wn,,wp,wp,wp,wp,,,wp,wp,,wr,wn,,wq,wk,,,wr,1,0.11009174311926606,-1,0
15.817901357656407,-27.096649164229746,22,0,0,13,br,bn,,bq,bk,bb,,br,bp,bb,bp,,,,bp,bp,,bp,,bp,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,,wr,,,wq,wk,,,wr,1,0.11926605504587157,-1,0
15.56549952075347,-27.21940336159069,22,0,0,14,br,,,bq,bk,bb,,br,bp,bb,bp,,,,bp,bp,,bp,bn,bp,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,,wr,,,wq,wk,,,wr,1,0.12844036697247707,-1,0
15.377589773823427,-27.281739473571225,22,0,0,15,br,,,bq,bk,bb,,br,bp,bb,bp,,,,bp,bp,,bp,bn,bp,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,,wr,,,wq,wk,,wr,,1,0.13761467889908258,-1,0
