,0,1
0,12.894492,-15.783275
1,13.166175,-15.856395
2,13.568404,-15.96012
3,13.622374,-16.064676
4,13.705723,-16.249777
5,13.63732,-16.231852
6,13.666,-16.313889
7,13.6157875,-16.284298
8,-6.1762323,-1.303769
9,-6.16304,-1.2924203
10,-6.1425247,-1.2742188
11,-6.105874,-1.2437696
12,-6.1181593,-1.2424164
13,-6.0247865,-1.1645902
14,-5.9673376,-1.1307925
15,-5.7408056,-0.90489393
16,-5.79169,-0.8101706
17,-5.516637,-0.33956164
18,-5.476647,-0.24002747
19,-5.410704,-0.11941362
20,-5.455994,-0.18793142
21,-5.2676587,0.16113749
22,-5.1078124,0.46797505
23,-4.9533954,0.7715239
24,-4.9394403,0.79769987
25,-4.947381,0.7813874
26,-4.8508844,0.9752504
27,-4.8281546,1.0167706
28,-4.8166375,1.0346963
29,-4.8042703,1.061978
30,-4.8045263,1.0550171
31,-4.7997885,1.0712463
32,-4.7967396,1.0768725
33,-4.799552,1.0639489
34,-4.767495,1.1399405
35,-4.742407,1.1960351
36,-4.71713,1.2105097
37,-4.732494,1.2092949
38,-4.7155123,1.2367828
39,-4.7210674,1.2455555
40,-4.6973658,1.260392
41,-4.7143683,1.2660575
42,-4.7119603,1.273838
43,-4.6963162,1.3169414
44,-4.6863446,1.3432943
45,-4.6807065,1.3603444
46,-4.6415877,1.4630859
47,-4.6354613,1.4840283
48,-4.602387,1.5683022
49,-4.587702,1.6089656
50,-4.5720344,1.6539268
51,-4.570657,1.6546155
52,-4.5483685,1.7115172
53,-4.5234065,1.7774354
54,-4.5139813,1.8009259
55,-4.501453,1.8331951
56,-4.4888988,1.8633672
57,-4.4958296,1.8413223
58,-4.4852977,1.878945
59,-4.491815,1.8653214
60,-4.4777474,1.8995115
61,-4.4683824,1.9240899
62,-4.461366,1.9405421
63,-4.4475145,1.9763083
64,-4.445312,1.9802463
65,-4.422195,2.039279
66,-4.442515,1.9885818
67,-4.4352336,2.007332
68,-4.439349,1.995752
69,-4.432924,2.0115077
70,-4.427642,2.0240455
71,-4.4160943,2.050798
72,-4.4334064,2.0093224
73,-4.4168696,2.0515456
74,-4.4129477,2.060503
75,-4.40436,2.0863092
76,-4.401602,2.0920298
77,-4.380433,2.1402688
78,-4.390622,2.1391292
79,-4.377656,2.1459906
80,-4.3513184,2.1840289
81,-4.35204,2.2003336
82,-4.3523707,2.1992266
83,-4.3477435,2.2091572
84,-4.347056,2.2149868
85,-4.3482003,2.2079933
86,-4.329823,2.2448237
87,-4.344605,2.2128878
88,-4.3309846,2.2423825
89,-4.343309,2.217613
90,-4.330657,2.244113
91,-4.331565,2.2395325
92,-4.324572,2.2555952
93,-4.303235,2.2970607
94,-4.283879,2.3360345
95,-4.3049746,2.298672
96,-4.2609315,2.3797026
97,-4.240277,2.417503
98,-4.234251,2.4300447
99,-4.176417,2.5374348
100,-4.199206,2.5028803
101,-4.1955957,2.5146673
102,-4.1457167,2.5980103
103,-4.1478996,2.6006637
104,-4.1476474,2.5991414
105,-4.126981,2.6376398
106,-4.1376834,2.6175225
107,-4.127852,2.6318977
108,-4.1220365,2.647681
109,-4.1339393,2.6245546
110,-4.1366644,2.6175864
111,-4.137983,2.6188612
112,-4.137538,2.6188703
113,-4.140409,2.6126733
114,-4.1345634,2.6221855
115,-4.134849,2.6215389
116,-4.1349707,2.6204839
117,-4.1304827,2.6275249
118,-4.129627,2.6265888
119,-4.1339436,2.6243472
120,-4.1400256,2.613437
121,-4.140922,2.6108801
122,-4.12885,2.625071
123,-4.1361065,2.6205754
124,-4.1367064,2.6195986
125,-4.1744256,2.5871866
126,-4.14117,2.6141763
127,-4.1437545,2.610882
128,-4.14402,2.6109335
129,-4.14523,2.607165
130,-4.1430674,2.610491
131,-4.143546,2.6092105
132,-4.131641,2.615587
133,12.793604,-15.691674
134,13.115948,-15.835907
135,13.202611,-15.915766
136,13.426193,-16.053665
137,13.740601,-16.221823
138,13.597309,-16.210396
139,13.605377,-16.273634
140,13.616036,-16.290045
141,-6.173237,-1.3018123
142,-6.1618752,-1.2914429
143,-6.1105943,-1.2436477
144,-6.063424,-1.2033876
145,-6.058453,-1.2099808
146,-5.9894385,-1.1621475
147,-5.927495,-1.1236887
148,-5.8896327,-1.097886
149,-5.793738,-1.03434
150,-5.7229266,-1.0295902
151,-5.61697,-0.9721256
152,-5.608131,-0.966981
153,-5.626626,-0.97377187
154,-5.5329027,-0.91052693
155,-5.571806,-0.9439923
156,12.073628,7.7845225
157,12.048437,7.7779093
158,12.060597,7.7981043
159,12.079692,7.822776
160,12.035346,7.8106427
161,12.108504,7.8431892
162,12.111741,7.8374968
163,12.10757,7.8532844
164,12.086887,7.844679
165,12.121541,7.890173
166,12.114853,7.9014854
167,12.080822,8.003607
168,12.096768,8.000244
169,12.050546,8.123779
170,12.050684,8.09814
171,12.075415,8.03686
172,12.038716,8.085147
173,12.0739765,8.121046
174,12.069713,8.136293
175,12.019781,8.200268
176,12.068196,8.16367
177,12.0757265,8.158772
178,12.053854,8.173352
179,12.046085,8.163479
180,11.982172,8.200861
181,12.050595,8.171811
182,11.943815,8.235364
183,11.947545,8.215495
184,11.943326,8.214454
185,11.919313,8.233854
186,11.838586,8.222853
187,11.816168,8.26465
188,11.750308,8.285215
189,11.658171,8.339456
190,11.676703,8.322274
191,11.657402,8.333531
192,11.735376,8.309534
193,11.59034,8.374531
194,11.600176,8.36407
195,11.571977,8.381086
196,11.554188,8.391556
197,11.542669,8.394558
198,11.564318,8.375206
199,11.531219,8.40637
200,11.512172,8.415156
201,11.508996,8.4194145
202,11.513618,8.412097
203,11.498656,8.422533
204,11.485637,8.4261675
205,11.488635,8.4295025
206,11.46477,8.450178
207,11.463553,8.451263
208,11.451882,8.466906
209,11.425355,8.480454
210,11.429755,8.48478
211,11.419057,8.490763
212,11.400424,8.505922
213,11.366296,8.537523
214,11.3740635,8.521756
215,11.378671,8.526536
216,11.372426,8.532467
217,11.329329,8.578754
218,11.373373,8.525525
219,11.358172,8.552148
220,11.357401,8.5568495
221,11.356033,8.56053
222,11.349243,8.570713
223,11.33287,8.586831
224,11.350735,8.568349
225,11.367674,8.557656
226,11.354366,8.573831
227,11.345727,8.579219
228,11.346017,8.580565
229,11.347605,8.584297
230,11.341789,8.589871
231,11.336031,8.589351
232,11.318303,8.607762
233,11.339308,8.600486
234,11.344994,8.604502
235,11.338251,8.613675
236,11.340055,8.633713
237,11.340362,8.627713
238,11.330907,8.6288395
239,11.328456,8.616902
240,11.315983,8.627077
241,11.317824,8.632573
242,11.304564,8.645208
243,11.286426,8.65845
244,12.896709,-15.788662
245,13.121477,-15.842184
246,13.688793,-15.982262
247,13.561997,-16.032124
248,13.546893,-16.093328
249,13.489437,-16.157997
250,13.536516,-16.224083
251,13.506342,-16.514736
252,13.522794,-16.567926
253,13.654128,-16.883457
254,13.683418,-16.664055
255,13.541349,-16.577868
256,1.2089248,-4.21154
257,1.1957841,-4.218755
258,1.1688871,-4.168171
259,1.1631982,-4.155035
260,1.1616777,-4.1532125
261,1.1448576,-4.1320043
262,1.1306021,-4.1167874
263,1.1235489,-4.1070666
