x,y,line,cp,algo,difference,age,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-15.006746, 27.569643, 0,state, 0, 42, 20, 20,R,O,R,B,W,G,O,G,O,G,Y,G,R,G,R,O,R,O,G,O,W,O,R,O,W,W,B,W,B,B,W,O,W,B,G,Y,Y,B,W,G,Y,Y,B,Y,G,R,R,R,Y,B,B,Y,W,Y
-12.024776, 27.917604, 0,state, 0, 40, 21, 21,G,O,R,R,W,G,O,G,O,Y,Y,G,G,G,R,B,R,O,G,O,W,O,R,O,W,W,B,B,W,Y,B,O,G,W,W,B,R,B,W,Y,Y,Y,Y,Y,G,R,R,R,B,B,B,O,W,Y
-8.956276, 28.155294, 0,state, 0, 38, 22, 22,G,O,R,R,W,G,W,W,B,B,G,Y,R,G,Y,O,R,G,G,O,W,O,R,O,O,G,O,B,W,Y,B,O,G,W,B,R,B,W,W,Y,Y,Y,Y,Y,G,R,R,R,B,B,B,O,W,Y
-6.628317, 28.435753, 0,state, 0, 38, 23, 23,G,O,Y,R,W,Y,W,W,G,B,G,W,R,G,Y,O,R,G,O,O,G,G,R,O,O,O,W,B,W,Y,B,O,G,W,B,R,B,W,R,Y,Y,B,Y,Y,Y,R,R,R,B,B,G,O,W,B
-6.8222885, 25.674217, 0,state, 0, 39, 24, 24,W,R,G,W,W,O,G,Y,Y,O,G,O,R,G,Y,O,R,G,O,O,G,W,R,O,B,O,W,B,W,B,B,O,G,W,B,W,B,W,R,Y,Y,B,Y,Y,Y,R,R,R,B,B,G,R,G,Y
-9.446025, 25.403355, 0,state, 0, 38, 25, 25,W,R,R,W,W,G,G,Y,Y,O,G,G,R,G,O,O,R,Y,G,O,W,O,R,O,O,W,B,B,W,B,B,O,G,W,B,W,B,W,O,Y,Y,Y,Y,Y,G,R,R,R,B,B,B,R,G,Y
-7.6885223, -4.0465403, 0,state, 0, 34, 26, 26,W,R,R,W,W,G,O,W,B,Y,R,O,O,G,R,G,G,O,G,O,W,O,R,O,W,B,W,B,W,B,B,O,G,O,W,B,Y,Y,G,Y,Y,Y,Y,Y,G,R,R,R,B,B,B,R,G,Y
-5.318564, -4.2281957, 0,state, 0, 31, 27, 27,W,R,R,W,W,G,O,W,B,Y,R,O,O,G,R,W,O,W,G,O,R,O,R,R,W,B,R,G,W,B,G,O,G,O,W,B,G,Y,G,Y,Y,Y,Y,Y,Y,O,B,B,B,B,B,R,G,Y
-7.533331, -7.068297, 0,state, 0, 36, 28, 28,G,R,R,Y,W,G,Y,W,B,O,R,O,B,G,R,R,O,W,G,O,R,O,R,R,W,B,R,B,W,O,G,O,G,B,W,G,W,Y,G,W,Y,Y,O,Y,Y,Y,B,B,O,B,B,W,G,Y
44.80358, 2.8141496, 0,state, 0, 34, 29, 29,R,G,B,R,W,W,G,Y,Y,O,G,G,B,G,R,R,O,W,O,O,R,R,R,R,O,B,R,B,W,Y,G,O,G,B,W,W,W,Y,G,W,Y,Y,O,Y,Y,Y,B,B,O,B,B,G,O,W
