x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-7.8734965, -62.530834, 10, intermediate, beginner,W,W,W,W,W,G,W,W,G,O,O,Y,G,G,Y,G,G,Y,G,R,B,R,R,R,R,R,R,O,O,G,O,O,G,O,O,B,Y,Y,B,Y,Y,B,Y,Y,W,B,B,R,B,B,W,O,B,R
-34.345196, -56.330463, 10, intermediate, beginner,W,W,W,W,W,W,G,G,W,R,R,G,G,G,Y,G,G,Y,O,R,B,B,R,R,R,R,R,O,O,O,O,O,O,O,O,Y,Y,Y,B,Y,Y,B,Y,Y,W,B,B,R,B,B,W,B,G,G
-27.146225, -41.412865, 10, intermediate, beginner,W,W,R,W,W,W,G,G,G,R,R,W,G,G,W,G,G,W,B,R,R,R,R,R,O,B,R,O,O,O,O,O,O,O,O,Y,Y,Y,G,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,G,W
-37.859623, -35.159725, 10, intermediate, beginner,G,W,W,G,W,W,G,W,R,O,R,B,G,G,W,G,G,W,B,R,R,G,R,R,W,B,R,O,O,R,O,O,R,O,O,W,Y,Y,G,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,O,O
-47.490932, -48.004242, 10, intermediate, beginner,G,W,B,G,W,W,G,W,W,O,R,G,G,G,Y,G,G,Y,W,G,B,B,R,R,R,R,R,O,O,R,O,O,R,O,O,W,Y,Y,B,Y,Y,B,Y,Y,O,B,B,W,B,B,W,Y,O,R
-6.7388687, -56.971832, 10, intermediate, beginner,W,W,G,W,W,G,B,W,G,R,O,Y,G,G,Y,G,G,Y,W,G,B,R,R,R,R,R,R,O,O,R,O,O,B,O,O,W,Y,Y,B,Y,Y,B,Y,Y,O,B,B,W,B,B,W,G,R,O
-49.022884, 4.2288246, 10, intermediate, beginner,W,W,W,W,W,W,B,W,O,R,O,G,G,G,G,G,G,G,B,R,R,G,R,R,W,R,R,O,O,R,O,O,B,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,R,O
-38.920746, 7.8762426, 10, checkpoint, beginner,B,W,W,W,W,W,O,W,W,W,G,B,G,G,G,G,G,G,G,R,R,R,R,R,O,R,R,O,O,R,O,O,O,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,B,R
-29.436691, -20.715017, 10, intermediate, beginner,O,O,R,W,W,W,O,W,W,W,G,B,G,G,G,G,G,G,B,W,W,R,R,R,O,R,R,Y,Y,Y,O,O,O,O,O,G,Y,Y,Y,Y,Y,Y,R,R,G,B,B,R,B,B,B,B,B,W
-28.369848, -12.78369, 10, intermediate, beginner,O,W,O,W,W,O,W,W,R,O,R,B,G,G,G,G,G,G,B,W,W,B,R,R,W,R,R,Y,Y,W,O,O,G,O,O,B,Y,Y,Y,Y,Y,Y,R,R,G,B,B,R,B,B,B,G,O,Y
67.300095, 33.59241, 10, intermediate, beginner,O,W,O,W,W,O,O,O,B,G,G,O,G,G,R,G,G,B,B,W,W,B,R,R,W,W,R,Y,Y,W,O,O,G,Y,Y,Y,R,R,W,Y,Y,Y,R,R,G,B,B,R,B,B,B,G,O,Y
42.379356, 50.24448, 10, intermediate, beginner,O,O,B,W,W,O,O,W,O,W,G,Y,G,G,R,G,G,B,O,W,W,G,R,R,G,W,R,Y,Y,Y,O,O,O,Y,Y,G,R,R,W,Y,Y,Y,R,R,G,B,B,R,B,B,B,B,B,W
45.021828, 25.713278, 10, intermediate, beginner,O,W,W,W,W,O,O,W,O,W,G,Y,G,G,R,G,G,B,G,R,R,G,R,R,G,W,R,O,O,B,O,O,O,Y,Y,G,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,B,R
56.633305, 18.538612, 10, intermediate, beginner,O,W,O,W,W,W,O,O,W,G,G,G,G,G,R,G,G,B,W,R,R,B,R,R,R,W,R,O,O,W,O,O,G,Y,Y,Y,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,O,B
-39.31107, 14.659318, 10, intermediate, beginner,O,W,O,W,W,W,R,W,R,G,R,B,G,G,G,G,G,G,W,R,R,B,R,R,W,R,R,O,O,W,O,O,G,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,O,B
-38.547783, 9.173338, 10, intermediate, beginner,O,W,R,W,W,W,O,W,R,W,G,W,G,G,G,G,G,G,B,R,R,R,R,R,G,R,R,O,O,B,O,O,O,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,B,W
4.1483235, 50.67531, 10, intermediate, beginner,O,W,R,W,W,W,G,R,R,W,G,G,G,G,G,W,G,G,B,R,R,R,R,R,Y,Y,Y,O,O,B,O,O,O,O,W,R,G,O,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,B,W
-59.990646, -8.18522, 10, intermediate, beginner,O,W,R,W,W,W,G,R,R,W,G,G,G,G,G,Y,R,R,B,R,B,R,R,B,Y,Y,B,W,O,B,G,O,O,G,W,R,O,Y,Y,O,Y,Y,G,Y,Y,O,O,O,B,B,B,W,B,W
-58.14766, -10.60289, 10, intermediate, beginner,O,W,R,W,W,W,G,W,R,Y,G,W,R,G,G,R,G,G,B,R,B,R,R,B,G,R,R,W,O,B,G,O,O,Y,Y,O,B,Y,Y,O,Y,Y,G,Y,Y,O,O,O,B,B,B,W,B,W
-52.783394, -8.343724, 10, intermediate, beginner,O,W,R,W,W,W,G,W,R,Y,G,W,R,G,G,W,G,Y,B,R,G,R,R,G,G,R,R,O,O,B,O,O,O,O,Y,O,G,O,B,Y,Y,Y,Y,Y,Y,B,B,R,B,B,B,W,B,W
-54.769897, -4.161865, 10, intermediate, beginner,O,W,R,W,W,W,G,R,R,W,G,Y,G,G,G,Y,R,W,B,R,G,R,R,G,B,O,G,O,O,B,O,O,O,G,W,R,O,Y,O,Y,Y,Y,Y,Y,Y,B,B,R,B,B,B,W,B,W
-57.3547, -7.070375, 10, intermediate, beginner,O,W,R,W,W,W,G,R,R,W,G,Y,G,G,G,G,G,G,B,R,B,R,R,B,B,O,R,Y,O,B,R,O,O,W,W,R,O,Y,Y,Y,Y,Y,O,Y,Y,G,O,O,B,B,B,W,B,W
-55.8357, -9.731833, 10, intermediate, beginner,O,W,R,W,W,W,W,W,R,G,G,W,G,G,G,G,G,Y,B,R,B,R,R,B,G,R,R,Y,O,B,R,O,O,Y,Y,O,R,O,B,Y,Y,Y,O,Y,Y,G,O,O,B,B,B,W,B,W
-52.364937, -4.899698, 10, intermediate, beginner,O,W,R,W,W,W,W,W,R,G,G,W,G,G,G,Y,R,Y,B,R,Y,R,R,G,G,R,G,O,O,B,O,O,O,G,Y,O,O,Y,R,Y,Y,O,Y,Y,B,B,B,R,B,B,B,W,B,W
-51.507774, -5.5554905, 10, intermediate, beginner,R,W,R,W,W,W,O,W,W,B,O,O,G,G,G,Y,R,Y,W,R,Y,G,R,G,G,R,G,O,O,W,O,O,B,G,Y,W,O,Y,R,Y,Y,O,Y,Y,B,B,B,R,B,B,B,B,R,G
-54.822266, -1.1733106, 10, intermediate, beginner,R,W,R,W,W,W,G,R,G,O,G,Y,O,G,R,B,G,Y,W,R,Y,G,R,G,R,Y,O,O,O,W,O,O,B,O,W,W,W,Y,G,Y,Y,O,Y,Y,B,B,B,R,B,B,B,B,R,G
-60.65772, -4.910725, 10, intermediate, beginner,R,W,R,W,W,W,G,R,G,O,G,Y,O,G,R,O,G,Y,W,R,B,G,R,B,R,Y,R,B,O,W,G,O,B,Y,W,W,G,O,B,Y,Y,Y,W,Y,Y,O,O,O,B,B,B,B,R,G
-59.60235, -14.024911, 10, intermediate, beginner,R,W,R,W,W,W,Y,W,W,O,O,O,G,G,G,Y,R,Y,W,R,B,G,R,B,G,R,G,B,O,W,G,O,B,B,O,G,R,Y,R,Y,Y,Y,W,Y,Y,O,O,O,B,B,B,B,R,G
-49.73903, -2.9092283, 10, intermediate, beginner,R,W,R,W,W,W,Y,W,W,O,O,O,G,G,G,B,G,B,W,R,Y,G,R,R,G,R,Y,O,O,W,O,O,B,O,O,G,W,Y,R,Y,Y,Y,Y,Y,R,B,B,G,B,B,B,B,R,G
0.7526418, 48.715084, 10, intermediate, beginner,R,W,R,W,W,W,G,R,Y,O,G,B,O,G,G,O,G,B,W,R,Y,G,R,R,R,Y,W,O,O,W,O,O,B,Y,W,W,G,O,O,Y,Y,Y,Y,Y,R,B,B,G,B,B,B,B,R,G
-61.27363, -7.054913, 10, intermediate, beginner,R,W,R,W,W,W,G,R,Y,O,G,B,O,G,G,W,R,Y,W,R,B,G,R,B,R,Y,G,O,O,W,G,O,B,B,W,W,O,Y,R,O,Y,Y,G,Y,Y,Y,O,O,B,B,B,B,R,G
-59.263065, -11.982753, 10, intermediate, beginner,R,W,R,W,W,W,B,W,W,W,O,O,R,G,G,Y,G,B,W,R,B,G,R,B,G,R,Y,O,O,W,G,O,B,R,Y,O,G,Y,R,O,Y,Y,G,Y,Y,Y,O,O,B,B,B,B,R,G
-50.693905, -10.076551, 10, intermediate, beginner,R,W,R,W,W,W,B,W,W,W,O,O,R,G,G,O,G,R,W,R,B,G,R,G,G,R,Y,O,O,W,O,O,B,Y,Y,O,G,O,G,Y,Y,Y,Y,Y,R,B,B,Y,B,B,B,B,R,G
-57.00943, -2.5894222, 10, intermediate, beginner,R,W,R,W,W,W,G,R,Y,O,G,R,O,G,G,W,R,O,W,R,B,G,R,G,G,O,G,O,O,W,O,O,B,B,W,W,O,Y,Y,Y,Y,Y,Y,Y,R,B,B,Y,B,B,B,B,R,G
