x,y,line,cp,algo,difference,oldage,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-10.231656, 27.88391, 167,state, 1, 21, 50, 18705,Y,G,B,G,W,W,G,W,R,O,R,W,B,G,G,B,G,G,O,R,R,O,R,R,G,R,R,O,O,O,O,O,O,W,W,W,R,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,W,W
-27.733938, 44.848507, 167,state, 1, 25, 51, 18706,O,G,B,B,W,W,B,W,R,R,R,W,Y,G,G,Y,G,G,O,R,R,O,R,R,G,R,R,O,O,W,O,O,W,O,O,W,B,Y,Y,B,Y,Y,G,Y,Y,Y,B,B,G,B,B,G,W,W
43.24966, 31.658552, 167,state, 1, 30, 52, 18707,O,O,W,B,W,W,B,W,R,R,R,W,Y,G,G,Y,G,G,O,G,B,O,R,R,G,R,R,Y,Y,G,O,O,W,O,O,W,B,Y,Y,B,Y,Y,R,R,O,B,B,W,B,B,W,Y,G,G
42.85478, 31.847143, 167,state, 1, 29, 53, 18708,B,B,O,W,W,O,R,W,W,G,O,O,Y,G,G,Y,G,G,Y,G,B,G,R,R,G,R,R,Y,Y,R,O,O,R,O,O,W,B,Y,Y,B,Y,Y,R,R,O,B,B,W,B,B,W,W,W,G
-33.10472, 50.153015, 167,state, 1, 24, 54, 18709,Y,G,B,W,W,O,R,W,W,G,O,O,Y,G,G,Y,G,G,O,R,R,G,R,R,G,R,R,B,B,O,O,O,R,O,O,W,B,Y,Y,B,Y,Y,R,Y,Y,W,B,B,W,B,B,G,W,W
-10.375473, 32.83565, 167,state, 1, 20, 55, 18710,W,G,B,W,W,O,G,W,W,Y,O,O,W,G,G,R,G,G,O,R,R,G,R,R,G,R,R,O,O,B,O,O,B,W,R,O,G,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,W,W
-40.599438, 12.458937, 167,state, 1, 26, 56, 18711,W,G,B,W,W,O,W,R,O,R,W,Y,G,G,O,G,G,O,O,R,R,G,R,R,G,W,W,O,O,B,O,O,B,Y,Y,G,R,R,G,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,W,W
-47.077427, 7.337376, 167,state, 1, 21, 57, 18712,W,W,W,R,W,G,O,O,B,G,G,O,G,G,O,G,G,O,R,R,R,W,R,R,W,W,W,O,O,R,O,O,W,Y,Y,Y,R,R,G,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,B,B
-3.148592, 57.675632, 167,checkpoint, 1, 11, 58, 18713,W,W,W,R,W,G,W,W,W,O,O,O,G,G,G,G,G,G,R,R,R,W,R,R,G,R,R,O,O,R,O,O,W,O,O,B,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,B,B
-12.400837, 55.409798, 167,state, 1, 9, 59, 18714,W,R,W,W,W,W,W,G,W,G,W,R,G,G,G,G,G,G,G,R,R,B,R,R,B,R,R,O,O,O,O,O,O,O,O,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,W,R
-42.3793, -1.7805523, 167,state, 1, 19, 60, 18715,W,R,W,W,W,W,O,O,O,G,G,G,G,G,W,G,G,R,G,R,R,B,R,R,W,G,W,O,O,O,O,O,O,Y,Y,Y,R,R,B,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,W,R
-49.479553, -19.791433, 167,state, 1, 25, 61, 18716,W,R,G,W,W,W,O,O,R,G,G,B,G,G,Y,G,G,Y,W,B,G,G,R,R,W,R,R,O,O,O,O,O,O,Y,Y,Y,R,R,B,Y,Y,B,Y,Y,R,B,B,W,B,B,W,B,W,O
-68.24589, -4.9956017, 167,state, 1, 29, 62, 18717,O,W,W,O,W,R,R,W,G,W,G,W,G,G,Y,G,G,Y,B,B,G,W,R,R,O,R,R,O,O,G,O,O,G,Y,Y,B,R,R,B,Y,Y,B,Y,Y,R,B,B,W,B,B,W,Y,O,O
