x,y,line,cp,algo,difference,oldage,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
68.34489, 19.243162, 0,start, 0, 39, 0, 0,O,W,G,B,W,G,R,Y,R,G,B,Y,G,G,W,W,Y,B,Y,Y,W,W,R,O,B,R,R,B,Y,G,G,O,R,O,O,W,G,R,W,R,Y,W,O,O,B,Y,B,O,G,B,O,Y,B,R
70.99371, 18.99457, 0,state, 0, 42, 1, 1,O,W,G,B,W,G,B,R,R,Y,W,B,B,G,Y,G,G,W,Y,Y,W,W,R,O,W,R,G,B,Y,G,G,O,R,R,Y,R,W,O,O,R,Y,W,O,O,B,Y,B,O,G,B,O,Y,B,R
73.780785, 19.52124, 0,state, 0, 41, 2, 2,O,W,B,B,W,Y,B,R,W,Y,W,O,B,G,W,G,G,B,W,W,Y,R,R,Y,G,O,W,B,Y,G,G,O,R,R,Y,R,W,O,O,R,Y,O,O,O,R,Y,B,G,G,B,G,Y,B,R
72.72266, 22.89944, 0,state, 0, 40, 3, 3,B,B,O,R,W,W,W,Y,B,G,R,W,B,G,W,G,G,B,Y,W,Y,B,R,Y,R,O,W,B,Y,Y,G,O,W,R,Y,O,W,O,O,R,Y,O,O,O,R,Y,B,G,G,B,G,R,R,G
70.03219, 22.40662, 0,state, 0, 41, 4, 4,B,B,G,R,W,G,W,Y,G,G,R,O,B,G,W,G,G,B,Y,Y,W,W,R,O,Y,B,R,B,Y,Y,G,O,W,R,Y,O,W,O,W,R,Y,W,O,O,B,Y,B,O,G,B,O,R,R,R
67.58225, 23.905436, 0,state, 0, 40, 5, 5,B,B,G,R,W,G,W,O,W,B,G,G,W,G,B,O,R,G,Y,Y,W,W,R,O,R,Y,O,B,Y,Y,G,O,W,Y,B,R,G,Y,W,R,Y,W,O,O,B,Y,B,O,G,B,O,R,R,R
65.67933, 25.671621, 0,state, 0, 40, 6, 6,B,B,G,R,W,G,W,O,W,B,G,G,W,G,B,O,O,W,Y,Y,Y,W,R,B,R,Y,O,O,Y,Y,R,O,W,G,B,R,W,W,B,Y,Y,O,G,R,O,Y,G,B,G,B,O,R,R,R
63.004272, 27.285084, 0,state, 0, 42, 7, 7,B,B,G,R,W,G,G,B,R,O,W,B,O,G,G,W,B,G,Y,Y,Y,W,R,B,W,O,W,O,Y,Y,R,O,W,B,W,W,O,Y,R,Y,Y,O,G,R,O,Y,G,B,G,B,O,R,R,R
61.21178, 29.21421, 0,state, 0, 44, 8, 8,B,B,G,R,W,G,G,B,R,O,W,B,O,G,G,W,B,Y,Y,Y,Y,W,R,G,W,O,B,W,Y,Y,B,O,W,G,W,W,R,O,O,Y,Y,R,O,Y,G,B,R,O,G,B,O,R,R,R
58.785004, 28.38202, 0,state, 0, 42, 9, 9,B,B,O,R,W,O,G,B,R,O,W,G,O,G,G,W,B,R,Y,G,B,Y,R,O,Y,W,W,W,Y,Y,B,O,W,G,W,W,R,O,B,Y,Y,G,O,Y,Y,B,R,O,G,B,R,R,R,G
