x,y,line,cp,algo,difference,age,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
29.09019, 18.071835, 0,state, 0, 35, 20, 20,O,W,W,W,W,O,G,Y,O,Y,B,B,B,G,Y,B,W,W,O,G,W,W,R,B,Y,R,R,R,R,B,O,O,G,R,R,O,Y,R,G,Y,Y,O,Y,Y,R,G,G,B,G,B,O,W,B,G
28.644096, 16.870388, 0,state, 0, 36, 21, 21,O,W,B,W,W,O,G,Y,G,Y,B,W,B,G,O,B,W,O,W,B,R,G,R,R,O,W,Y,R,R,B,O,O,G,R,R,O,Y,R,B,Y,Y,Y,Y,Y,W,G,G,G,G,B,O,W,B,R
28.629824, 16.51792, 0,state, 0, 36, 22, 22,G,Y,G,O,W,W,B,W,O,R,B,W,B,G,O,B,W,O,O,B,R,G,R,R,B,W,Y,R,R,O,O,O,G,R,R,W,Y,R,B,Y,Y,Y,Y,Y,W,G,G,G,G,B,O,W,B,Y
28.7316, 15.35184, 0,state, 0, 35, 23, 23,W,Y,Y,O,W,W,B,W,O,R,B,W,B,G,O,B,W,O,R,R,O,G,R,R,B,W,Y,O,B,R,O,O,G,R,R,W,Y,R,B,Y,Y,Y,G,Y,G,Y,B,W,O,B,G,G,G,G
28.658838, 15.103172, 0,state, 0, 31, 24, 24,O,W,B,W,W,O,Y,Y,W,G,G,G,B,G,O,B,W,O,W,R,O,G,R,R,R,W,Y,O,B,B,O,O,G,R,R,R,Y,R,B,Y,Y,Y,G,Y,G,Y,B,W,O,B,G,W,B,R
3.5840561, 7.5971427, 0,checkpoint, 0, 29, 25, 25,O,W,B,W,W,O,B,R,Y,O,W,B,O,G,B,G,G,G,W,R,O,G,R,R,R,R,R,O,B,B,O,O,G,R,W,Y,W,Y,Y,Y,Y,Y,G,Y,G,Y,B,W,O,B,G,W,B,R
3.4920964, 7.520497, 0,state, 0, 31, 26, 26,O,W,W,W,W,G,B,R,R,O,W,B,O,G,O,G,G,Y,O,R,R,R,R,R,W,G,R,O,B,B,O,O,G,R,W,Y,W,Y,B,Y,Y,B,G,Y,G,Y,B,Y,O,B,Y,W,B,G
3.1790056, 9.165857, 0,state, 0, 31, 27, 27,B,W,O,R,W,W,R,G,W,W,R,O,O,G,O,G,G,Y,W,R,R,B,R,R,G,G,R,O,B,O,O,O,W,R,W,B,W,Y,B,Y,Y,B,G,Y,G,Y,B,Y,O,B,Y,Y,G,B
3.3307168, 9.276569, 0,state, 0, 31, 28, 28,B,W,O,R,W,O,R,G,Y,W,R,B,O,G,B,G,G,G,G,B,W,G,R,R,R,R,R,O,B,O,O,O,W,R,W,B,W,Y,Y,Y,Y,Y,G,Y,B,Y,B,O,O,B,W,Y,G,W
4.3206253, 7.716995, 0,state, 0, 32, 29, 29,O,O,Y,W,W,G,B,R,R,O,W,B,O,G,B,G,G,G,B,B,W,R,R,R,W,R,R,O,B,W,O,O,G,R,W,Y,W,Y,Y,Y,Y,Y,G,Y,B,Y,B,O,O,B,W,G,G,R
