vector,line,algo,oldage,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
110,5,0.5,5,-6.449962100624336,-3.2393935147565665,973,0,5,1,3,4,7,2,4,4,0,1122,2,3,0,1,3,9,2,5,1,3,1001,3,5,1,1,16,1,1,0,1,5,976,0,11,0,1,5,6,1,0,3,0,946,0,4,3,6,6,2,1,0,9,0,849,27,1,12,2,1,4,2,0,4,5,911,0,3,1,0,1,7,5,0,2,1,973,3,3,1,3,6,6,0,13,4,3,925,2,1,0,1,7,24,6,0,20,13,979
111,5,0.5,6,-6.549740926705239,-3.2865724038429907,971,0,3,1,3,4,8,2,4,3,1,1122,2,3,0,0,3,9,2,5,1,4,1002,3,6,1,1,16,1,1,0,1,6,975,0,11,0,1,5,6,1,0,3,0,945,0,3,3,5,6,3,0,0,9,0,849,27,1,12,2,1,3,2,0,3,5,911,0,3,1,0,1,7,4,1,2,1,972,3,3,1,3,6,6,0,14,4,2,926,1,1,1,1,9,24,6,0,22,13,981
112,5,0.5,7,-6.815594204970203,-3.2558935205464405,971,0,4,1,3,4,7,2,4,3,1,1123,2,3,0,0,3,8,1,4,1,4,1001,3,7,1,2,16,1,1,0,1,6,976,0,11,0,1,4,4,1,0,3,0,946,0,5,3,4,6,2,0,1,8,0,850,26,1,11,2,2,3,2,0,2,4,911,0,3,1,1,0,7,4,1,2,1,972,3,2,0,3,6,7,0,15,3,3,931,1,1,1,0,8,23,5,0,22,12,985
113,5,0.5,8,-6.784986508464782,-3.219534460475634,971,0,5,1,4,4,7,2,4,3,1,1123,2,4,0,0,3,7,1,3,1,4,1000,3,7,1,2,14,1,0,0,1,5,976,0,11,0,1,4,5,1,0,3,0,946,0,5,3,4,8,2,0,1,8,0,850,26,1,11,3,2,3,1,0,2,4,912,0,3,1,1,0,7,4,1,2,1,976,2,2,0,3,7,8,0,15,2,3,932,2,1,1,1,6,22,5,0,21,12,982
114,5,0.5,9,-6.747967589380958,-2.964663641051186,971,0,4,1,4,4,8,2,4,3,1,1123,1,3,0,0,3,6,1,3,1,4,1002,2,6,1,2,15,0,0,0,1,4,978,0,9,0,1,6,5,1,0,3,0,947,0,5,2,4,8,2,0,1,8,0,855,28,1,11,3,2,3,1,0,2,3,910,0,3,1,1,0,7,5,1,2,1,977,2,2,0,3,7,5,0,13,1,3,931,2,1,1,2,8,22,5,0,21,12,982
115,5,0.5,10,-6.889203928612051,-2.888119552931944,970,1,5,1,3,4,8,2,4,3,1,1123,1,2,0,0,3,5,1,3,1,4,1002,2,6,0,3,15,2,0,0,2,3,979,0,9,0,1,6,4,1,0,3,0,949,0,5,2,3,7,2,0,1,8,0,857,27,1,11,3,3,3,1,0,2,3,910,0,2,1,1,0,7,5,1,2,1,980,2,2,0,2,7,6,0,13,1,2,931,2,1,0,2,7,21,4,0,20,12,984
116,5,0.5,11,-7.1384277399485345,-2.678232374610357,969,1,5,1,2,5,7,2,3,3,1,1123,1,3,0,0,3,6,1,3,1,4,1002,4,5,0,3,14,1,0,0,2,3,980,0,7,0,1,7,3,2,0,3,0,950,0,4,2,3,8,3,0,1,7,0,861,30,2,11,3,2,3,1,0,3,3,909,0,2,1,1,0,8,3,1,2,1,974,2,2,0,2,6,6,0,10,1,1,932,3,1,0,2,6,21,4,0,26,12,983
117,5,0.5,12,-6.866903431099323,-2.431377821435269,970,2,5,2,2,5,8,2,4,2,1,1123,2,2,0,0,3,6,0,3,1,4,1000,3,5,1,3,14,1,0,0,2,3,979,0,7,0,1,8,3,2,0,3,0,950,0,5,1,3,7,2,0,1,7,0,861,28,1,10,3,2,3,1,0,3,3,909,0,2,1,1,0,9,4,1,1,1,975,2,2,0,1,6,7,0,10,1,1,930,3,1,0,2,6,21,4,0,27,14,985
118,5,0.5,13,-6.930306463278468,-2.313057347769674,970,2,5,2,2,4,8,2,3,2,1,1123,3,1,0,0,4,6,1,2,1,3,998,4,4,0,3,12,1,0,0,2,3,979,0,7,0,1,8,2,1,0,3,0,953,1,4,1,2,8,2,1,1,8,0,863,28,2,12,3,3,3,1,0,3,2,908,0,2,1,1,0,9,3,0,2,1,978,2,2,0,1,7,7,0,9,2,1,930,3,1,0,2,6,20,4,0,25,13,986
119,5,0.5,14,-7.1989761263342515,-2.384320694205096,969,2,5,2,2,4,8,2,3,2,1,1122,3,1,0,0,3,6,1,2,1,3,998,4,4,0,3,11,1,0,0,2,3,978,0,8,0,1,8,2,1,0,3,0,954,1,4,1,3,8,3,1,1,9,0,863,27,2,9,3,3,3,1,0,3,2,910,0,2,1,1,0,9,3,0,2,1,980,2,2,0,2,7,7,0,8,2,1,932,3,1,0,2,6,19,4,0,24,13,986
