vector,line,algo,oldage,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
0,0,0.01,0,6.713816214019457,-0.932304193381509,290,109,149,252,218,420,298,247,258,128,461,479,176,251,179,265,132,400,136,359,6,4,5,10,14,3,18,15,34,9,80,65,47,101,62,68,76,6,43,41,0,0,5,0,9,5,0,2,2,1,86,325,352,274,363,59,272,298,418,402,2,0,3,4,5,1,0,0,8,6,43,66,261,73,102,55,122,47,51,23,11,87,31,45,26,16,40,13,24,40,1,0,3,0,4,0,0,0,0,0
1,0,0.01,1,7.8841224895857955,2.3381452991598044,798,0,32,96,8,224,78,55,83,64,42,1072,63,104,38,87,44,57,96,67,25,19,757,143,62,60,99,49,160,35,46,1,19,491,15,59,14,1,26,44,8,14,39,9,602,58,20,37,19,206,2,0,2,10,3,184,13,0,20,31,24,12,36,49,53,90,645,12,89,30,14,8,45,53,70,71,21,792,47,169,5,8,28,50,10,47,24,5,424,24,16,1,11,5,121,12,0,20,10,339
2,0,0.01,2,7.866407218069689,2.605973021241072,916,0,20,26,1,89,28,13,8,31,1,1090,39,29,18,19,12,44,55,14,5,13,827,58,16,28,26,39,48,7,13,1,18,763,1,84,1,1,35,8,4,3,30,6,812,29,17,30,5,203,5,0,0,15,1,412,10,1,16,3,21,4,26,33,28,85,852,4,33,3,9,2,30,29,29,63,2,880,25,115,5,22,38,45,5,73,10,2,734,15,1,0,4,6,71,10,0,14,15,610
3,0,0.01,3,7.723764046276223,3.7462983857432612,935,0,13,7,1,24,20,8,7,16,1,1090,23,8,8,10,6,30,21,10,2,6,853,26,10,13,11,33,17,4,3,2,22,872,1,71,0,4,30,10,2,1,26,1,843,19,22,22,5,106,13,0,0,29,0,618,21,1,22,11,15,5,19,9,18,42,871,3,16,3,3,2,23,17,15,34,0,899,17,50,6,29,45,33,10,55,7,1,822,14,0,0,8,8,76,6,0,27,17,785
4,0,0.01,4,7.5367573097774265,4.276256645285786,937,0,14,6,1,18,13,7,6,14,1,1088,14,4,6,9,3,25,14,8,1,4,872,21,6,8,9,32,11,5,2,3,19,893,1,52,1,5,27,13,2,1,23,1,877,16,22,16,8,69,16,3,0,26,0,702,25,1,31,11,13,5,14,6,16,30,876,2,16,2,2,2,23,17,4,17,0,913,14,33,6,29,46,28,8,36,9,0,832,11,0,0,7,8,63,4,0,27,15,843
5,0,0.01,5,7.220082809416172,4.603517508076616,940,0,12,4,0,17,12,5,6,14,0,1092,10,2,4,8,3,23,12,8,1,3,888,21,6,6,6,29,13,6,3,3,15,901,1,47,1,5,25,11,2,1,21,1,897,14,20,16,9,56,16,2,0,24,1,727,22,1,32,12,10,5,15,5,15,23,886,2,14,1,2,3,23,18,3,13,2,917,10,29,6,26,43,28,7,34,6,0,836,8,0,0,5,6,48,3,0,30,17,864
6,0,0.01,6,6.898376870953839,4.827542092807296,947,0,12,4,0,18,12,4,6,15,0,1093,9,2,3,6,3,22,11,8,0,3,895,22,5,5,7,26,12,5,2,2,14,907,1,39,1,4,26,13,2,1,19,3,902,13,17,15,8,47,12,2,0,23,1,745,19,1,33,12,9,5,16,4,15,18,891,1,14,1,2,3,21,16,3,13,2,925,9,28,6,26,39,23,9,32,6,0,839,8,0,0,7,6,43,3,0,30,16,872
7,0,0.01,7,6.538818905016814,4.758213248126552,952,0,12,3,1,17,12,3,5,13,0,1095,8,2,3,6,3,17,9,9,0,3,903,19,5,5,5,24,12,5,2,2,12,913,1,37,2,4,26,12,2,1,16,3,911,11,17,13,8,42,9,2,0,22,1,753,19,2,32,11,8,4,13,4,13,15,892,1,14,1,1,3,23,15,2,10,2,931,9,27,6,25,38,22,9,35,6,0,844,8,0,0,7,7,36,3,0,33,15,881
8,0,0.01,8,6.268880493714854,5.0388107894017775,954,0,12,3,1,15,12,2,5,14,0,1095,8,2,3,6,3,17,9,9,0,3,908,17,5,5,6,24,8,5,2,3,13,915,1,38,2,4,28,10,2,1,15,3,917,11,17,12,8,36,8,2,0,23,1,755,19,2,30,12,7,4,10,4,12,15,892,1,13,1,1,2,23,15,2,10,2,931,8,26,6,25,37,21,8,33,5,0,850,7,0,0,6,7,32,4,0,35,15,889
9,0,0.01,9,5.998256638966773,5.026702488430305,954,0,12,3,1,15,13,2,5,14,0,1097,7,1,3,5,3,13,9,9,0,2,912,18,5,5,6,25,8,4,2,2,14,915,1,37,2,3,24,10,2,1,14,3,918,10,16,12,8,35,8,3,0,24,1,761,18,2,31,12,7,4,11,3,12,14,893,1,10,1,1,2,20,15,2,9,2,935,8,24,6,24,36,21,8,31,5,0,855,6,0,0,6,7,31,5,0,35,16,894
10,0,0.01,10,5.918194351127061,4.5175324132254,956,0,12,3,1,12,12,2,5,15,0,1098,6,1,3,5,3,13,9,9,0,2,914,17,4,5,6,25,9,4,2,2,14,917,1,37,2,3,24,10,1,1,15,3,922,9,16,11,7,34,8,3,0,22,1,768,19,2,31,11,7,4,11,2,12,14,892,1,10,1,1,2,20,16,2,8,2,938,8,23,5,23,34,22,7,29,6,0,858,6,0,0,6,7,29,5,0,33,13,896
11,0,0.01,11,5.59230852887844,4.916965706970149,956,0,12,3,1,11,12,2,5,15,0,1098,6,1,3,4,3,13,9,8,0,2,920,16,4,5,6,26,9,4,2,2,13,918,1,36,2,2,23,11,1,1,13,3,921,9,15,10,7,34,8,3,0,22,1,770,19,2,29,12,7,4,10,2,12,14,893,1,10,1,1,2,20,16,2,8,2,938,8,23,5,23,32,22,7,29,6,0,863,6,0,0,6,7,30,6,0,34,11,895
12,0,0.01,12,5.591432689678925,4.262697617482925,956,0,9,3,1,9,11,2,5,15,0,1100,6,1,3,4,3,13,9,7,0,2,926,15,4,5,7,26,10,4,2,3,13,920,1,35,2,3,23,11,1,1,13,3,921,8,13,10,7,33,8,2,0,23,1,773,19,1,27,12,7,4,9,2,12,15,895,1,10,1,1,2,20,15,2,8,2,939,8,20,5,21,30,21,8,29,6,0,864,6,0,0,6,7,29,6,0,33,11,900
13,0,0.01,13,5.072935365244812,4.6563591552092625,956,0,7,3,1,9,11,2,4,15,0,1100,6,1,3,4,3,13,8,6,0,2,934,15,5,4,6,26,10,3,2,3,14,921,1,34,2,3,23,11,1,1,13,3,921,7,12,9,7,33,8,2,0,23,1,779,19,1,26,12,7,4,7,2,11,15,897,1,10,1,1,2,19,14,2,8,2,942,8,19,5,21,27,21,8,26,6,0,867,6,0,0,5,7,29,6,0,31,11,903
14,0,0.01,14,4.9232923775714506,4.552542529501874,956,0,7,3,1,9,11,2,4,15,0,1103,5,1,3,3,3,12,7,6,0,2,936,16,6,4,7,26,10,3,2,3,14,921,1,33,2,3,20,11,1,1,12,3,921,7,12,9,7,32,8,1,0,23,1,782,17,1,27,12,7,4,7,2,11,14,898,1,11,1,1,2,19,14,2,8,2,945,8,18,5,19,27,20,8,26,6,0,869,6,0,0,5,7,28,6,0,29,11,905
15,0,0.01,15,4.722032255973542,4.4190240530823415,956,0,7,3,1,9,11,2,4,14,0,1105,5,1,3,2,3,12,7,6,0,2,941,16,6,4,7,25,10,3,2,3,14,923,0,34,2,3,19,11,1,1,10,3,922,5,12,10,9,32,8,1,0,22,0,785,17,1,24,14,7,4,7,2,11,14,898,1,11,1,1,2,19,14,2,7,2,947,8,18,5,17,24,19,8,26,6,0,872,5,0,0,5,7,29,6,0,27,10,905
16,0,0.01,16,4.548382692312946,4.184911341740639,958,0,7,4,1,8,12,2,4,12,0,1108,4,1,2,2,3,12,6,6,0,2,944,16,6,3,7,24,8,4,2,2,14,925,0,31,2,3,19,11,1,1,10,2,922,5,11,9,10,32,7,1,0,22,0,790,16,1,23,14,7,4,7,2,12,16,899,1,12,1,1,2,17,13,2,6,2,948,8,18,4,15,24,18,8,25,6,0,874,5,0,0,5,7,29,6,0,28,10,906
17,0,0.01,17,4.778105166021204,3.6726157470720353,958,0,7,4,1,8,11,1,4,11,0,1108,4,1,2,3,3,11,5,6,0,2,944,16,6,3,7,24,8,4,2,2,14,925,0,31,2,3,18,11,1,1,10,2,922,4,11,9,10,32,7,1,0,22,0,792,15,1,23,15,7,4,7,2,12,14,901,1,12,1,1,2,17,13,2,6,2,951,8,18,4,15,24,18,8,25,6,0,876,5,0,0,5,7,29,6,0,27,10,906
18,0,0.01,18,4.595148107035637,3.540951297787516,958,0,7,4,1,8,10,1,4,11,0,1108,4,1,2,3,3,11,5,6,0,2,945,15,6,3,7,24,8,4,2,2,14,930,0,31,2,3,17,10,1,1,10,2,923,4,11,8,10,32,7,1,0,21,0,796,15,1,23,15,7,4,7,2,12,13,902,1,12,1,1,2,17,12,2,5,2,953,8,18,4,15,23,16,8,23,6,0,877,5,0,0,5,7,28,6,0,26,10,907
19,0,0.01,19,4.3514869417329605,3.3970406777114825,959,0,7,4,1,8,10,1,4,11,0,1108,4,1,2,3,3,11,4,6,0,2,947,14,6,3,7,24,9,4,2,2,14,931,0,28,1,3,17,9,1,1,9,2,924,4,11,8,10,32,6,1,0,21,0,801,15,1,19,15,7,4,7,2,12,13,903,1,12,1,1,2,17,12,2,5,2,953,8,18,4,15,22,16,8,22,6,0,881,5,0,0,5,7,27,5,0,26,10,908
20,0,0.01,20,4.199265513025312,3.306436852356658,959,0,8,4,1,8,10,1,4,11,0,1109,4,1,1,3,3,11,4,6,0,2,948,14,6,3,7,24,9,4,2,2,14,934,0,28,1,3,16,9,1,1,9,2,925,4,12,8,10,31,6,1,0,21,0,803,13,1,19,15,7,4,6,1,12,13,904,1,12,1,1,2,16,10,2,5,2,953,8,18,4,14,22,16,8,21,6,0,882,5,0,0,5,7,27,4,0,26,10,909
21,1,0.02,0,6.713817484274581,-0.9323036317745165,290,109,149,252,218,420,298,247,258,128,461,479,176,251,179,265,132,400,136,359,6,4,5,10,14,3,18,15,34,9,80,65,47,101,62,68,76,6,43,41,0,0,5,0,9,5,0,2,2,1,86,325,352,274,363,59,272,298,418,402,2,0,3,4,5,1,0,0,8,6,43,66,261,73,102,55,122,47,51,23,11,87,31,45,26,16,40,13,24,40,1,0,3,0,4,0,0,0,0,0
22,1,0.02,1,7.867176305965783,2.600713623229212,916,0,20,26,1,87,29,13,8,31,1,1090,39,29,18,19,10,44,54,14,6,13,826,58,16,27,26,39,47,7,13,1,18,763,1,87,1,1,35,9,4,3,30,6,815,30,17,32,5,212,5,0,0,15,0,413,12,1,16,3,20,4,26,33,28,82,850,4,33,3,9,2,30,30,29,64,2,881,26,123,5,22,39,45,6,74,11,2,735,16,1,0,4,5,68,9,0,11,15,591
23,1,0.02,2,7.5436256749535575,4.264218108429889,938,0,14,6,1,18,14,7,6,14,1,1088,14,4,6,9,3,25,13,8,1,4,871,22,6,8,7,32,11,5,2,3,20,891,1,52,1,5,28,13,2,1,23,1,877,16,21,16,8,70,16,3,0,28,0,702,27,1,29,11,12,5,14,6,16,30,875,2,16,1,2,2,23,17,4,17,0,913,14,35,6,29,46,27,8,36,10,0,833,11,0,0,7,8,63,4,0,27,16,841
24,1,0.02,3,6.881753712078368,4.825572571101286,946,0,12,4,0,18,12,4,6,15,0,1093,9,2,3,6,3,21,10,8,0,4,894,22,5,5,7,25,12,5,2,2,14,906,1,39,1,4,26,13,2,1,19,3,902,12,17,14,8,47,12,2,0,23,1,747,19,1,30,12,9,4,16,4,15,18,891,1,14,1,3,3,22,16,3,12,2,926,9,29,6,26,39,23,9,32,6,0,842,8,0,0,7,7,43,3,0,32,17,871
25,1,0.02,4,6.317889022203553,5.021530074201342,953,0,12,3,1,15,12,2,5,14,0,1096,8,2,3,6,3,16,8,9,0,3,906,16,5,5,6,24,9,5,2,2,13,914,1,38,2,4,26,10,2,1,16,3,915,11,16,12,8,35,8,2,0,25,1,754,20,2,32,12,7,4,11,3,12,14,890,1,11,1,2,2,23,16,2,10,2,932,8,26,6,25,37,21,8,35,7,0,850,8,0,0,6,7,34,4,0,35,17,889
26,1,0.02,5,5.881118300227032,4.438569727528392,956,0,12,3,1,12,12,2,5,15,0,1098,6,1,3,4,3,13,8,9,0,2,916,16,4,5,6,25,9,4,2,2,14,916,1,37,2,3,24,10,1,1,14,3,920,9,15,11,7,34,8,3,0,25,1,769,19,2,29,11,7,4,10,2,12,14,893,1,10,1,1,2,20,16,2,8,2,938,8,23,5,23,34,21,7,29,6,0,861,6,0,0,6,7,31,5,0,33,13,896
27,1,0.02,6,5.300823486281608,4.783654686268306,956,0,10,3,1,10,12,2,5,15,0,1100,6,1,3,4,3,13,6,7,0,2,926,15,5,5,7,27,10,3,2,2,13,920,1,34,2,2,23,11,1,1,13,3,922,7,12,10,7,32,8,3,0,23,1,774,19,2,28,12,7,4,8,2,11,15,895,1,10,1,1,2,20,15,1,8,2,939,8,20,5,21,30,21,8,29,6,0,866,6,0,0,6,7,29,6,0,32,11,902
28,1,0.02,7,5.210421515107852,3.991983070614969,956,0,7,3,1,9,11,2,4,15,0,1102,5,1,3,4,3,12,6,6,0,2,936,16,6,4,7,27,10,3,2,3,14,921,1,32,2,3,20,11,1,1,12,3,921,7,12,9,7,32,8,1,0,23,1,783,18,1,26,12,7,4,7,2,11,14,897,1,10,1,1,2,19,14,2,7,2,945,8,19,5,20,27,20,8,26,6,0,872,6,0,0,5,7,28,6,0,28,11,904
29,1,0.02,8,4.562901284425336,4.194160715809259,958,0,7,4,1,8,12,2,4,12,0,1107,4,1,2,2,3,12,5,6,0,2,944,16,6,3,7,24,8,4,2,2,14,924,0,31,2,3,18,11,1,1,10,2,922,5,11,9,10,32,7,1,0,22,0,790,17,1,24,14,7,4,7,2,12,16,898,1,11,1,1,2,17,13,2,6,2,947,8,18,4,16,24,19,8,25,6,0,876,5,0,0,5,7,29,6,0,29,10,906
30,1,0.02,9,4.333177250040684,3.8866716936431316,960,0,7,4,1,8,12,1,4,11,0,1108,4,1,2,3,3,11,4,6,0,2,945,15,6,3,7,24,8,4,2,2,14,929,0,30,1,3,17,9,0,1,10,2,922,4,11,8,10,31,6,1,0,21,0,796,15,1,23,15,7,4,7,2,12,13,901,1,12,1,1,2,17,12,2,5,2,951,8,18,4,15,23,17,8,24,6,0,878,5,0,0,5,7,29,6,0,28,10,909
31,1,0.02,10,3.970289832200185,3.5271353550752633,960,0,8,4,1,8,10,1,4,11,0,1108,4,1,1,3,3,10,4,5,0,2,948,14,6,3,7,24,8,4,2,2,14,932,0,26,1,3,16,9,0,1,9,2,925,4,11,8,10,31,6,1,0,21,0,804,14,1,18,15,7,4,6,2,12,13,904,1,12,1,1,2,16,11,2,5,2,952,8,17,4,15,22,16,8,21,6,1,884,6,0,0,5,7,27,5,0,27,10,910
32,1,0.02,11,3.817707080530386,3.1930824025127205,960,0,8,4,1,8,10,1,4,11,0,1108,3,1,1,3,3,10,3,5,0,2,950,14,6,3,7,23,8,4,2,2,14,937,0,25,1,4,15,8,0,1,9,2,926,4,9,8,10,30,6,1,0,21,0,807,14,0,16,15,7,4,7,1,12,13,906,1,12,1,1,2,15,9,2,5,2,954,8,16,4,15,22,15,7,20,6,1,888,6,0,0,4,6,27,4,0,26,10,913
33,1,0.02,12,3.5458666079908836,3.126542721540294,959,0,8,4,1,8,10,1,4,10,0,1110,3,2,1,3,3,8,4,5,0,2,953,12,6,4,7,23,8,4,2,2,13,940,0,24,1,4,14,8,0,1,9,2,925,4,10,7,11,28,6,1,0,21,0,809,14,0,17,13,8,4,7,1,12,13,905,1,12,1,1,2,15,8,2,5,2,958,8,17,4,13,20,14,7,18,6,1,888,6,0,0,4,6,28,4,0,25,8,917
34,1,0.02,13,3.374160132821625,2.860332079106207,959,0,8,4,1,7,10,1,4,9,0,1112,2,2,1,3,3,8,4,5,0,2,955,13,6,3,8,23,8,3,2,2,13,943,0,24,1,5,13,7,0,1,9,2,925,3,10,7,11,28,6,0,0,19,0,814,13,0,18,14,8,4,7,1,12,13,906,1,11,1,1,2,15,8,2,5,2,959,8,17,4,12,19,14,7,16,5,1,889,6,0,0,4,4,28,4,0,23,8,919
35,1,0.02,14,3.0942617130097054,2.5290471766241827,960,0,8,3,1,5,10,0,4,8,0,1112,3,2,1,3,3,8,4,5,0,2,959,13,5,3,8,23,8,3,2,2,12,945,0,23,1,5,11,7,0,1,9,2,926,2,10,6,10,30,6,0,0,19,0,820,11,0,17,13,7,4,7,1,12,12,908,1,10,1,1,2,11,8,2,5,2,963,8,16,4,12,19,14,8,15,5,1,894,6,0,0,4,3,27,4,0,21,8,920
36,1,0.02,15,2.828864235181434,2.2529068599087814,960,0,7,3,1,5,11,0,4,7,0,1113,3,2,0,3,3,8,4,5,0,2,964,13,5,2,6,23,7,3,2,2,12,946,0,21,1,5,11,7,0,0,8,1,927,2,10,6,8,30,6,0,0,18,0,824,9,0,17,14,7,4,5,1,12,13,912,1,10,1,1,2,11,8,2,5,1,963,8,13,4,12,18,15,8,13,5,1,897,6,0,0,4,3,27,4,0,21,8,923
37,1,0.02,16,2.6612199328998605,2.011281565794575,959,0,7,3,1,5,11,0,4,7,0,1113,4,2,0,2,4,8,4,7,1,2,963,13,5,2,5,23,6,3,2,2,12,948,0,20,1,4,11,7,1,0,8,1,930,2,10,6,8,31,6,0,0,17,0,829,8,0,18,14,6,4,5,1,11,13,914,0,10,1,1,2,11,8,2,4,1,965,8,11,4,12,18,14,7,11,4,2,898,5,0,0,4,3,26,4,0,20,7,923
38,1,0.02,17,2.5306520286567786,1.8159135755162865,959,0,7,3,1,5,11,0,4,7,0,1114,4,2,0,2,4,8,4,7,1,2,963,13,6,2,5,23,6,3,2,2,12,951,0,19,1,4,11,7,1,0,7,0,932,2,9,4,8,30,7,0,0,16,0,830,7,0,16,14,5,4,5,1,10,12,916,0,10,1,1,2,12,9,2,4,1,967,9,10,4,11,18,13,6,11,4,2,899,5,0,0,4,2,25,5,0,20,7,925
39,1,0.02,18,2.3319820290274684,1.627491615255682,959,0,7,3,1,4,11,0,4,7,0,1114,4,2,0,2,4,8,5,7,1,2,965,14,7,1,5,23,6,2,2,2,11,951,0,17,1,4,11,6,1,0,8,0,932,2,9,4,8,30,7,0,1,15,0,836,8,0,16,14,5,4,4,1,10,12,915,0,9,1,1,2,12,9,2,3,1,969,9,10,4,11,18,13,5,10,4,1,899,6,0,0,2,2,25,5,0,19,7,926
40,1,0.02,19,2.069618769063972,1.3857169656224655,961,0,7,3,1,3,10,0,4,7,0,1114,4,2,0,2,4,8,5,7,1,2,969,14,7,1,5,23,6,2,2,2,10,954,0,17,1,4,11,6,1,0,7,0,933,2,9,4,8,29,6,0,1,14,0,839,8,0,16,13,5,4,4,1,9,11,916,0,9,1,1,2,12,9,1,3,1,969,9,9,3,11,16,11,5,9,4,1,899,5,0,0,2,2,26,5,0,19,7,930
41,1,0.02,20,1.980856807597548,1.2209598667185153,961,0,7,3,1,3,10,0,4,7,0,1114,4,2,0,2,4,8,5,7,1,2,970,14,7,1,6,23,6,2,2,2,9,956,0,17,0,4,10,6,1,0,7,0,935,2,9,3,8,30,6,0,1,12,0,840,8,0,15,11,5,4,4,1,9,11,915,0,9,1,1,2,12,9,1,3,1,969,9,9,3,11,16,11,4,8,5,1,901,6,0,0,2,2,25,5,0,20,7,930
42,2,0.05,0,6.713814579159602,-0.9323030534000698,290,109,149,252,218,420,298,247,258,128,461,479,176,251,179,265,132,400,136,359,6,4,5,10,14,3,18,15,34,9,80,65,47,101,62,68,76,6,43,41,0,0,5,0,9,5,0,2,2,1,86,325,352,274,363,59,272,298,418,402,2,0,3,4,5,1,0,0,8,6,43,66,261,73,102,55,122,47,51,23,11,87,31,45,26,16,40,13,24,40,1,0,3,0,4,0,0,0,0,0
43,2,0.05,1,7.273521291616338,4.596547560979893,941,0,13,4,0,18,13,5,6,14,1,1091,11,3,5,8,3,25,12,8,1,4,883,22,4,6,5,29,13,5,2,2,17,901,0,44,1,4,24,13,2,1,20,2,888,12,19,16,9,54,16,3,0,24,1,731,26,1,30,10,9,4,15,5,16,22,882,2,15,1,2,3,23,17,3,13,2,914,12,29,6,27,44,25,8,35,7,0,835,10,0,0,6,7,57,3,0,32,18,865
44,2,0.05,2,5.605849848731377,5.018360648526688,955,0,12,4,1,11,12,2,5,15,0,1098,7,2,3,4,3,13,8,8,0,2,918,17,5,5,6,27,9,3,2,2,14,910,0,35,2,2,23,9,1,1,14,3,916,9,13,11,7,30,8,3,0,28,1,770,21,2,27,10,7,4,9,2,12,14,893,1,10,1,2,2,18,16,2,8,2,937,8,21,5,23,34,21,7,30,6,0,861,7,0,0,6,7,35,6,0,33,16,905
45,2,0.05,3,5.090913463753595,3.937135957688333,958,0,8,4,1,10,12,2,4,14,0,1105,4,1,3,4,3,12,5,6,0,2,938,16,6,5,7,26,11,4,2,2,14,920,0,30,2,3,18,9,0,1,11,2,922,6,11,9,7,31,8,1,0,25,0,786,19,1,27,12,7,4,8,2,11,13,896,1,10,1,1,2,17,14,1,6,2,945,8,19,4,18,26,19,9,26,6,0,873,6,0,0,6,7,29,6,0,29,11,907
46,2,0.05,4,3.8526357830069276,3.7435450662436978,960,0,8,4,1,8,11,1,4,11,0,1108,4,1,1,3,3,11,4,5,0,2,947,14,6,3,7,23,8,4,2,2,14,930,0,24,1,4,17,8,0,1,9,2,924,4,9,8,9,30,6,1,0,24,0,804,16,1,21,13,7,4,7,2,12,13,904,1,11,1,1,2,16,10,2,5,2,951,8,15,4,15,22,16,8,22,5,1,881,6,0,0,5,7,28,6,0,27,11,916
47,2,0.05,5,3.1868962931708253,3.030349768997862,959,0,8,4,1,6,11,1,4,10,0,1111,2,2,0,3,3,10,4,5,0,2,954,12,6,3,7,24,8,4,2,2,13,940,0,21,1,4,15,7,0,1,9,2,925,2,9,7,10,29,6,0,0,21,0,821,14,0,19,12,8,4,7,1,12,12,906,1,11,1,1,2,14,8,2,5,2,955,8,15,4,13,21,14,7,15,5,1,885,6,0,0,4,6,29,4,0,25,10,920
48,2,0.05,6,2.6557087459666984,2.36521385869368,961,0,7,4,1,5,11,0,4,7,0,1113,3,2,0,3,3,9,4,6,1,2,964,14,6,2,6,23,7,3,2,2,12,944,0,21,1,5,12,6,0,0,8,2,928,2,9,6,8,29,6,0,0,17,0,826,13,0,18,14,5,4,5,1,12,12,909,0,10,1,1,2,11,8,1,5,1,961,8,11,4,12,18,15,7,12,5,2,895,6,0,0,4,3,27,4,0,22,8,926
49,2,0.05,7,2.2457827620747386,1.8058190579373863,962,0,7,3,1,3,12,0,4,7,0,1113,4,2,0,2,4,9,5,6,1,2,963,12,7,1,5,23,7,3,2,2,12,954,0,19,1,4,12,6,0,0,7,0,932,2,9,4,8,28,6,0,1,14,0,835,10,0,16,14,5,4,4,1,9,11,912,0,9,1,1,2,12,8,1,4,1,965,9,10,3,12,18,13,6,10,4,2,897,6,0,0,4,3,26,5,0,21,7,928
50,2,0.05,8,1.7982042414384196,1.2512924075317196,962,0,7,3,1,3,12,0,4,7,0,1114,4,2,0,2,4,10,5,7,1,2,970,12,7,1,6,23,6,2,2,2,9,957,0,16,0,4,12,5,0,0,7,0,935,2,9,3,7,26,6,0,1,13,0,841,12,0,15,13,5,4,4,1,9,11,909,0,9,1,1,2,13,9,0,3,1,968,9,9,3,11,15,11,4,8,5,1,900,6,0,0,2,2,26,5,0,19,7,933
51,2,0.05,9,1.265568025472088,0.6434063277746948,963,0,7,3,1,3,11,1,4,7,0,1114,4,2,0,2,4,10,4,8,1,2,974,12,6,1,5,22,6,2,2,2,8,957,0,10,0,4,9,5,0,0,7,0,937,1,9,2,7,21,5,0,1,12,0,850,9,0,13,11,5,4,4,1,9,11,915,0,9,1,1,2,12,9,0,3,1,969,8,9,3,11,13,11,4,7,4,1,907,6,0,0,2,3,25,4,0,19,7,939
52,2,0.05,10,1.1557888883409595,0.2740022424505071,963,0,6,3,1,3,10,1,4,7,0,1117,5,2,1,2,3,11,4,8,1,2,975,9,7,1,5,20,6,1,2,2,8,962,0,13,0,4,9,5,0,0,7,0,937,1,9,1,7,23,5,0,1,11,0,848,9,0,10,12,5,4,3,1,8,10,917,0,8,1,1,2,13,9,0,3,1,972,7,9,3,8,12,10,4,7,4,1,912,6,0,0,2,3,24,4,0,18,7,937
53,2,0.05,11,0.8120532815350608,-0.20808604354961058,965,0,6,3,1,3,9,1,4,7,0,1117,5,1,1,2,3,11,4,8,1,2,978,10,8,0,4,19,5,1,2,2,8,965,0,12,0,4,8,5,0,0,7,0,936,0,10,2,8,23,5,0,1,11,0,855,8,0,10,12,4,4,3,0,8,9,918,0,6,1,1,2,13,8,1,2,1,974,7,8,2,8,9,9,4,5,5,1,915,6,0,0,2,3,23,4,0,16,7,938
54,2,0.05,12,0.6234007072948256,-0.4183655261136024,966,0,6,3,1,3,9,1,4,7,0,1119,5,1,1,2,3,11,4,8,1,2,978,9,8,0,4,20,5,0,1,2,9,966,0,10,0,3,7,6,0,0,7,0,937,0,10,1,7,23,5,0,1,12,0,859,8,0,10,11,4,3,3,0,7,8,918,0,6,1,1,2,13,8,1,2,1,974,7,8,2,7,9,8,4,5,5,1,918,6,0,0,1,3,23,3,0,17,6,939
55,2,0.05,13,0.4495473170443789,-0.6356941317173544,965,0,6,2,2,3,9,1,4,6,0,1120,5,1,2,2,3,11,4,8,1,2,977,8,9,0,4,20,5,0,0,2,9,969,0,10,0,3,6,6,1,0,7,0,938,0,10,1,7,22,5,0,1,12,0,860,8,0,10,10,4,2,4,0,5,8,918,0,6,1,1,2,13,7,1,2,1,975,7,8,3,7,9,8,2,5,5,1,919,6,0,0,1,3,23,2,0,16,6,942
56,2,0.05,14,0.47597780276921525,-0.8099030943985588,965,0,6,2,2,3,9,1,4,5,0,1120,5,1,2,2,3,11,4,8,1,2,977,9,10,0,4,19,5,0,0,2,9,970,0,13,0,3,6,5,1,0,7,0,938,0,9,1,9,22,5,0,1,12,0,858,7,0,10,11,3,2,3,0,5,8,921,0,4,1,2,2,13,6,1,2,0,976,7,8,3,7,10,8,2,4,5,2,920,6,0,0,1,2,22,2,0,15,5,943
57,2,0.05,15,0.21826399549254336,-1.2164881440531767,965,0,6,2,2,3,9,1,4,4,0,1122,5,1,2,2,3,10,3,8,1,2,979,8,11,0,4,19,4,0,0,1,7,972,0,11,0,3,5,5,1,0,7,0,940,0,9,0,8,21,5,0,1,11,0,860,7,0,9,11,3,2,3,0,4,8,921,0,5,1,2,2,13,6,2,2,0,978,7,8,3,6,10,8,2,4,5,2,924,5,0,0,1,2,19,2,0,15,5,946
58,2,0.05,16,0.06894800451482644,-1.311789152099672,965,0,6,2,2,3,9,1,4,4,0,1122,5,1,2,2,4,10,3,7,1,2,981,7,11,0,4,18,3,0,0,1,6,972,0,10,0,3,6,5,1,0,7,0,940,0,9,0,9,21,5,0,1,11,0,861,8,0,9,10,3,2,3,0,4,8,920,0,5,1,2,2,13,6,3,2,0,979,7,8,3,6,9,9,2,4,4,2,923,5,0,0,1,2,18,2,0,15,5,948
