x,y,line,cp,algo,age,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1
24.43999118215487,17.35957024326059,0,0,Nf3,19,br,,bb,bq,,br,bk,,bp,bp,,bn,,,bb,bp,,,bp,wb,bp,bn,bp,,,,wp,bp,,bp,,,,,,wp,,,,,,,wn,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
24.392686551581505,17.32508930067757,0,0,Nf3,20,br,,bb,bq,br,,bk,,bp,bp,,bn,,,bb,bp,,,bp,wb,bp,bn,bp,,,,wp,bp,,bp,,,,,,wp,,,,,,,wn,,,wn,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
24.27050838690942,17.20228263679247,0,0,Nf3,21,br,,bb,bq,br,,bk,,bp,bp,,bn,,,bb,bp,,,bp,wb,bp,bn,bp,,,,wp,bp,wn,bp,,,,,,wp,,,,,,,wn,,,,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
24.205418577143128,17.121249794968595,0,0,Nf3,22,br,,bb,bq,br,bb,bk,,bp,bp,,bn,,,,bp,,,bp,wb,bp,bn,bp,,,,wp,bp,wn,bp,,,,,,wp,,,,,,,wn,,,,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
24.152788364029647,17.059116459100856,0,0,Nf3,23,br,,bb,bq,br,wb,bk,,bp,bp,,bn,,,,bp,,,bp,,bp,bn,bp,,,,wp,bp,wn,bp,,,,,,wp,,,,,,,wn,,,,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
24.08803515051704,16.96710921947141,0,0,Nf3,24,br,,bb,bq,,br,bk,,bp,bp,,bn,,,,bp,,,bp,,bp,bn,bp,,,,wp,bp,wn,bp,,,,,,wp,,,,,,,wn,,,,wp,,wp,wp,,,wp,wp,wb,wp,wr,,,wq,,wr,wk,
24.00037855418248,16.856911382257355,0,0,Nf3,25,br,,bb,bq,,br,bk,,bp,bp,,bn,,,,bp,,,bp,,bp,bn,bp,,,,wp,bp,wn,bp,,,,,,wp,,wp,,,,,wn,,,,wp,,wp,wp,,,wp,,wb,wp,wr,,,wq,,wr,wk,
23.971935279395645,16.824713442415682,0,0,Nf3,26,br,,bb,bq,,br,bk,,bp,bp,,,,,,bp,,,bp,,bp,bn,bp,,,,wp,bp,bn,bp,,,,,,wp,,wp,,,,,wn,,,,wp,,wp,wp,,,wp,,wb,wp,wr,,,wq,,wr,wk,
23.932618225991824,16.781521977182855,0,0,Nf3,27,br,,bb,bq,,br,bk,,bp,bp,,,,,,bp,,,bp,,bp,bn,bp,,,,wp,bp,wp,bp,,,,,,wp,,,,,,,wn,,,,wp,,wp,wp,,,wp,,wb,wp,wr,,,wq,,wr,wk,
23.83662372716116,16.662786767675282,0,0,Nf3,28,br,,bb,bq,,br,bk,,bp,bp,,bn,,,,bp,,,bp,,bp,,bp,,,,wp,bp,wp,bp,,,,,,wp,,,,,,,wn,,,,wp,,wp,wp,,,wp,,wb,wp,wr,,,wq,,wr,wk,
