x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-20.93124, 9.352988, 0, start, beginner,O,W,G,W,W,G,Y,B,W,B,R,B,B,G,B,O,R,R,R,G,R,Y,R,Y,O,O,B,B,O,W,W,O,O,Y,Y,O,G,W,Y,G,Y,R,R,R,G,W,G,Y,Y,B,O,G,B,W
-21.07977, 9.204358, 0, intermediate, beginner,O,W,G,W,W,G,O,O,B,B,B,R,R,G,R,B,B,O,R,G,R,Y,R,Y,Y,W,G,B,O,W,W,O,O,Y,B,W,O,Y,Y,G,Y,R,R,R,G,W,G,Y,Y,B,O,G,B,W
-22.079336, 8.789094, 0, intermediate, beginner,O,W,G,W,W,G,O,O,B,B,B,R,R,G,R,G,Y,R,R,G,W,Y,R,G,Y,W,Y,B,O,W,B,O,O,O,B,W,Y,R,G,Y,Y,R,O,G,R,Y,W,B,Y,B,O,G,B,W
-22.890923, 8.611765, 0, intermediate, beginner,O,W,G,W,W,G,Y,W,Y,R,R,R,B,G,Y,B,R,G,R,G,W,Y,R,G,G,R,Y,B,O,W,B,O,O,O,O,B,W,B,O,Y,Y,R,O,G,R,Y,W,B,Y,B,O,G,B,W
-24.067015, 7.599998, 0, intermediate, beginner,O,W,R,W,W,Y,Y,W,G,R,R,O,B,G,R,B,R,R,G,Y,R,R,R,G,Y,G,W,B,O,W,B,O,O,O,O,B,W,B,B,Y,Y,O,O,G,W,Y,W,G,Y,B,G,G,B,Y
-24.11836, 7.7139797, 0, intermediate, beginner,Y,W,O,W,W,W,G,Y,R,Y,R,G,B,G,R,B,R,R,G,Y,R,B,R,G,Y,G,W,B,O,R,B,O,R,O,O,O,W,B,B,Y,Y,O,O,G,W,Y,W,G,Y,B,G,B,O,W
-23.416769, 8.988573, 0, intermediate, beginner,Y,W,G,W,W,G,G,Y,W,Y,R,O,B,G,W,B,R,R,R,G,W,Y,R,G,G,B,Y,B,O,R,B,O,R,O,O,O,W,B,G,Y,Y,R,O,G,R,Y,W,B,Y,B,O,B,O,W
-23.531456, 9.72942, 0, intermediate, beginner,Y,W,G,W,W,G,G,B,W,R,R,B,W,G,B,O,R,Y,R,G,W,Y,R,G,O,O,O,B,O,R,B,O,R,G,B,Y,W,Y,G,Y,Y,R,O,G,R,Y,W,B,Y,B,O,B,O,W
-23.718384, 10.611849, 0, intermediate, beginner,Y,W,G,W,W,G,G,B,W,R,R,B,W,G,B,O,G,W,R,G,Y,Y,R,W,O,O,B,O,O,R,R,O,R,Y,B,Y,G,R,R,Y,Y,G,W,Y,O,G,B,B,Y,B,O,B,O,W
-11.578778, 25.158209, 0, intermediate, beginner,G,W,Y,B,W,W,W,G,G,O,Y,R,W,G,B,O,G,W,B,G,Y,O,R,W,W,O,B,O,O,R,R,O,R,Y,B,B,G,R,R,Y,Y,G,W,Y,O,G,B,B,Y,B,O,Y,R,R
