x,y,line{"project":false},cp{"project":false},algo,difference,oldage,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
1.394108,-13.9962845,0,state,beginner,31,49,49,O,W,R,O,W,R,W,B,O,G,O,W,O,G,B,O,G,Y,B,R,R,W,R,R,B,R,R,R,W,G,O,O,G,B,W,O,Y,Y,B,Y,Y,G,G,Y,G,W,B,Y,G,B,Y,Y,B,W
7.241235700000001,-10.5652075,0,state,beginner,36,50,50,O,W,R,O,W,R,B,R,R,W,B,Y,O,G,G,G,O,O,B,R,R,W,R,R,B,Y,Y,R,W,G,O,O,G,W,B,O,O,W,B,Y,Y,G,G,Y,G,W,B,Y,G,B,Y,Y,B,W
9.327771,-11.390239,0,state,beginner,38,51,51,B,O,O,R,W,W,R,R,R,B,W,B,O,G,G,G,O,O,Y,R,R,B,R,R,W,Y,Y,R,W,W,O,O,B,W,B,Y,O,W,B,Y,Y,G,G,Y,G,W,B,Y,G,B,Y,O,G,G
4.179743,-10.837609,0,state,beginner,31,52,52,B,O,O,R,W,W,W,B,Y,G,O,B,O,G,W,O,G,B,Y,R,R,B,R,R,R,R,R,R,W,W,O,O,B,B,W,O,Y,Y,W,Y,Y,G,G,Y,G,W,B,Y,G,B,Y,O,G,G
2.3279462000000004,-11.584978999999999,0,state,beginner,27,53,53,B,O,B,R,W,W,W,B,B,G,O,W,O,G,G,O,G,G,R,B,Y,R,R,R,R,R,R,R,W,W,O,O,B,B,W,O,Y,Y,Y,Y,Y,Y,G,Y,G,W,B,O,G,B,W,O,G,Y
-0.48169312,-11.315623,0,state,beginner,28,54,54,R,B,Y,R,W,W,W,B,B,G,O,W,O,G,G,O,G,G,G,Y,G,R,R,R,R,R,R,B,O,B,O,O,B,B,W,O,Y,Y,Y,Y,Y,Y,W,W,R,O,G,W,G,B,B,Y,W,O
-0.6691551,-8.661989,0,state,beginner,28,55,55,W,R,R,B,W,B,B,W,Y,R,R,G,O,G,G,O,G,G,Y,Y,G,W,R,R,O,R,R,B,O,G,O,O,O,B,W,W,Y,Y,Y,Y,Y,Y,W,W,R,O,G,W,G,B,B,O,B,B
2.0146382,-9.052608,0,state,beginner,26,56,56,B,O,G,B,W,B,B,W,Y,R,R,G,O,G,G,O,G,G,W,R,R,W,R,R,O,R,R,R,W,W,O,O,O,B,W,W,Y,Y,Y,Y,Y,Y,G,Y,Y,W,B,B,G,B,B,O,G,O
-6.4312572,-2.1723037,0,state,beginner,24,57,57,R,O,G,O,W,B,O,W,Y,Y,R,G,Y,G,G,G,G,G,W,R,R,W,R,R,O,R,R,W,O,W,W,O,W,R,O,B,W,Y,Y,G,Y,Y,O,Y,Y,B,B,B,B,B,B,B,G,O
2.3027666,-3.4846466,0,state,beginner,24,58,58,Y,W,O,B,W,O,G,O,R,O,G,B,Y,G,G,G,G,G,B,R,R,W,R,R,W,R,R,W,O,O,W,O,W,R,O,W,W,Y,Y,G,Y,Y,O,Y,Y,B,B,B,B,B,B,G,R,Y
2.3552916,-6.438899500000001,0,state,beginner,25,59,59,B,W,O,B,W,O,G,O,R,Y,G,B,B,G,G,G,G,G,B,R,R,W,R,R,W,R,R,R,W,W,O,O,O,W,W,O,O,Y,Y,Y,Y,Y,G,Y,Y,W,B,B,G,B,B,O,R,Y
4.905858,-7.183736,0,state,beginner,26,60,60,O,O,R,W,W,O,B,B,G,W,O,O,B,G,G,G,G,G,B,R,R,G,R,R,Y,R,R,R,W,Y,O,O,R,W,W,O,O,Y,Y,Y,Y,Y,G,Y,Y,W,B,B,G,B,B,B,W,W
4.8957195,-4.618074,0,state,beginner,29,61,61,W,O,R,G,W,O,B,B,G,O,O,O,W,G,G,B,G,G,B,R,R,G,R,R,Y,R,R,W,O,R,W,O,W,O,R,Y,W,Y,Y,B,Y,Y,G,Y,Y,O,B,B,Y,B,B,G,W,W
0.6457013,-4.725642700000001,0,state,beginner,25,62,62,B,G,W,B,W,O,G,O,R,Y,G,B,W,G,G,B,G,G,G,R,R,W,R,R,W,R,R,W,O,O,W,O,O,O,R,O,W,Y,Y,B,Y,Y,G,Y,Y,O,B,B,Y,B,B,Y,W,R
3.0959627999999997,-1.3664051000000002,0,state,beginner,19,63,63,Y,G,W,W,W,O,B,O,R,W,G,B,B,G,G,G,G,G,G,R,R,W,R,R,W,R,R,O,O,O,O,O,R,W,W,O,O,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,W,R
5.28073,-1.2494793,0,state,beginner,20,64,64,Y,G,W,W,W,O,W,W,O,G,B,W,G,G,G,G,G,B,G,R,R,W,R,R,B,O,R,O,O,O,O,O,R,Y,Y,O,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,W,R
7.361755400000001,0.13045818,0,state,beginner,20,65,65,O,W,W,O,W,W,W,G,Y,R,W,G,G,G,G,G,G,B,O,R,R,R,R,R,O,O,R,O,O,B,O,O,W,Y,Y,G,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,B,G
5.7080564,1.5030856000000001,0,state,beginner,18,66,66,O,W,W,O,W,W,W,R,R,B,G,G,G,G,G,G,W,R,O,R,R,R,R,R,Y,Y,G,O,O,B,O,O,W,O,O,R,Y,G,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,B,G
2.1375947,17.230465,0,state,beginner,25,67,67,B,W,W,B,W,W,W,R,R,O,G,G,O,G,G,W,W,R,O,R,R,R,R,R,Y,Y,G,O,O,O,O,O,O,R,W,B,B,G,W,G,Y,Y,G,Y,Y,Y,B,B,Y,B,B,Y,B,G
0.49143708,-1.5445328,0,state,beginner,21,68,68,B,W,W,B,W,W,R,W,B,W,O,O,W,G,G,R,G,G,O,R,R,R,R,R,W,R,R,O,O,O,O,O,O,W,G,B,G,Y,Y,G,Y,Y,G,Y,Y,Y,B,B,Y,B,B,Y,B,G
-0.4417441,3.5093002,0,checkpoint,beginner,11,69,69,W,W,W,W,W,W,R,W,B,G,O,O,G,G,G,G,G,G,O,R,R,R,R,R,W,R,R,O,O,B,O,O,G,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,B,G
-4.7876825,10.020342,0,state,beginner,19,70,70,W,W,O,W,W,G,R,W,G,G,O,Y,G,G,Y,G,G,Y,W,R,O,R,R,R,R,R,R,O,O,B,O,O,G,O,O,W,Y,Y,B,Y,Y,B,Y,Y,G,B,B,W,B,B,W,R,B,B
-2.6510112,14.243539000000002,0,state,beginner,21,71,71,R,W,W,W,W,W,G,G,O,R,R,W,G,G,Y,G,G,Y,R,R,O,B,R,R,B,R,R,O,O,G,O,O,O,O,O,Y,Y,Y,B,Y,Y,B,Y,Y,G,B,B,W,B,B,W,W,G,B
2.2262117999999997,8.014171000000001,0,state,beginner,18,72,72,R,W,W,W,W,W,G,G,B,R,R,W,G,G,W,G,G,O,O,R,R,R,R,R,R,B,B,O,O,G,O,O,O,O,O,Y,Y,Y,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,G,G
0.45054397,7.0350304,0,state,beginner,21,73,73,G,W,R,G,W,W,B,W,W,R,R,O,G,G,W,G,G,O,W,R,R,G,R,R,G,B,B,O,O,R,O,O,R,O,O,W,Y,Y,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,O,G
-2.1826602999999998,11.806723,0,state,beginner,26,74,74,G,W,O,G,W,W,B,W,O,R,R,W,G,G,Y,G,G,Y,G,G,W,B,R,R,B,R,R,O,O,R,O,O,R,O,O,W,Y,Y,B,Y,Y,B,Y,Y,G,B,B,R,B,B,W,Y,O,W
-3.8313866,8.674757000000001,0,state,beginner,24,75,75,O,W,B,W,W,G,O,W,G,W,O,Y,G,G,Y,G,G,Y,W,G,W,R,R,R,R,R,R,O,O,B,O,O,B,O,O,G,Y,Y,B,Y,Y,B,Y,Y,G,B,B,R,B,B,W,W,R,R
3.3360538,2.2091444,0,state,beginner,16,76,76,O,W,R,W,W,W,O,W,R,W,O,B,G,G,G,G,G,G,W,R,R,G,R,R,W,R,R,O,O,B,O,O,B,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,R,G
-1.6677408,2.6951025,0,checkpoint,beginner,11,77,77,O,W,O,W,W,W,R,W,R,W,G,W,G,G,G,G,G,G,W,R,R,R,R,R,G,R,R,O,O,W,O,O,O,O,O,B,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,B,B
-1.9978354,-1.0457007999999999,0,state,beginner,18,78,78,W,W,O,G,W,W,G,W,R,Y,G,W,Y,G,G,Y,G,G,W,R,R,R,R,R,G,R,R,W,O,B,O,O,O,O,O,O,B,Y,Y,B,Y,Y,G,Y,Y,O,B,B,W,B,B,R,B,B
-3.4879801,-0.068853594,0,state,beginner,21,79,79,G,G,W,W,W,W,R,W,O,G,R,W,Y,G,G,Y,G,G,R,R,R,B,R,R,B,R,R,W,O,Y,O,O,G,O,O,W,B,Y,Y,B,Y,Y,G,Y,Y,O,B,B,W,B,B,O,O,B
-7.8806033,11.90225,0,state,beginner,30,80,80,G,G,W,W,W,G,R,W,G,G,R,Y,Y,G,Y,Y,G,Y,B,B,R,R,R,R,R,R,R,W,O,Y,O,O,G,O,O,W,B,Y,B,B,Y,B,G,Y,B,O,B,W,W,B,W,O,O,O
-8.981122000000001,9.09951,0,state,beginner,27,81,81,W,G,G,G,W,W,G,W,R,Y,G,W,Y,G,Y,Y,G,Y,Y,B,R,R,R,R,G,R,R,W,O,O,O,O,O,O,O,O,B,Y,B,B,Y,B,G,Y,B,O,B,W,W,B,W,B,R,R
-6.9950410000000005,9.195243,0,state,beginner,21,82,82,O,G,G,W,W,W,B,W,R,W,G,W,G,G,Y,G,G,Y,Y,B,R,R,R,R,G,R,R,O,O,W,O,O,O,O,O,O,Y,Y,B,Y,Y,B,Y,Y,B,B,B,W,B,B,W,G,R,R
