,x,y,line,cp,algo,player,age,ECO,UTCTime,Opening,BlackElo,Result,Site,Black,WhiteElo,TimeControl,White,UTCDate,Date,Termination,Event,Round,eval,clk,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1
10,26.209238,8.387034,3,1,TATHAoo7,Anastasia_mir,1,B00,00:00:26,Carr Defense,1503,0-1,https://lichess.org/ajRPL5gr,TATHAoo7,1511,600+0,Anastasia_mir,2021.08.01,2021.08.01,Normal,Rated Rapid tournament https://lichess.org/tournament/cu9aqMOJ,-,0.24,0:10:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
11,11.81856,17.440973,4,1,MequinhoCover,StenioVargas,0,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
12,26.161203,7.640892,4,0,MequinhoCover,MequinhoCover,1,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.24,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
13,-2.6709552,-1.3848875,4,0,MequinhoCover,StenioVargas,2,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.4,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,,bp,,,,,,,bp,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
14,0.1272766,9.311983,4,0,MequinhoCover,MequinhoCover,3,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.68,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,,bp,,,,,,,bp,,,,,,,,,,,,,wp,wp,,,,,,,,,,,,wp,wp,wp,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
15,-3.0265143,-0.4237975,4,0,MequinhoCover,StenioVargas,4,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.69,0:03:01,br,bn,bb,bq,bk,,bn,br,bp,bp,bp,bp,bp,bp,bb,bp,,,,,,,bp,,,,,,,,,,,,,wp,wp,,,,,,,,,,,,wp,wp,wp,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
16,-3.036191,-0.37562624,4,0,MequinhoCover,MequinhoCover,5,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.47,0:03:01,br,bn,bb,bq,bk,,bn,br,bp,bp,bp,bp,bp,bp,bb,bp,,,,,,,bp,,,,,,,,,,,,,wp,wp,,,,,,wn,,,,,,wp,wp,wp,,,wp,wp,wp,wr,,wb,wq,wk,wb,wn,wr
17,-3.0327244,-0.38326734,4,1,MequinhoCover,StenioVargas,6,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,1.02,0:03:03,br,bn,bb,bq,bk,,bn,br,bp,bp,,bp,bp,bp,bb,bp,,,,,,,bp,,,,bp,,,,,,,,,wp,wp,,,,,,wn,,,,,,wp,wp,wp,,,wp,wp,wp,wr,,wb,wq,wk,wb,wn,wr
18,12.250544,17.999756,5,1,Munzogra,XenonHawk,0,B21,00:00:27,Sicilian Defense: Smith-Morra Gambit,1455,1-0,https://lichess.org/q1m8E5GB,XenonHawk,1460,180+0,Munzogra,2021.08.01,2021.08.01,Time forfeit,Rated Blitz game,-,0.0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
19,25.498676,8.651889,5,0,Munzogra,Munzogra,1,B21,00:00:27,Sicilian Defense: Smith-Morra Gambit,1455,1-0,https://lichess.org/q1m8E5GB,XenonHawk,1460,180+0,Munzogra,2021.08.01,2021.08.01,Time forfeit,Rated Blitz game,-,0.24,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
20,5.813555,-15.913971,5,1,Munzogra,XenonHawk,2,B21,00:00:27,Sicilian Defense: Smith-Morra Gambit,1455,1-0,https://lichess.org/q1m8E5GB,XenonHawk,1460,180+0,Munzogra,2021.08.01,2021.08.01,Time forfeit,Rated Blitz game,-,0.32,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,,bp,bp,bp,bp,bp,,,,,,,,,,,bp,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
21,12.779568,17.23059,6,1,Owais20,crazydio,0,C40,00:00:27,King's Pawn Game: Busch-Gass Gambit,1443,1-0,https://lichess.org/ou3kaOGV,crazydio,1441,180+0,Owais20,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
22,25.382582,8.016488,6,0,Owais20,Owais20,1,C40,00:00:27,King's Pawn Game: Busch-Gass Gambit,1443,1-0,https://lichess.org/ou3kaOGV,crazydio,1441,180+0,Owais20,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.24,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
23,0.8269541,27.91911,6,0,Owais20,crazydio,2,C40,00:00:27,King's Pawn Game: Busch-Gass Gambit,1443,1-0,https://lichess.org/ou3kaOGV,crazydio,1441,180+0,Owais20,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.12,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,,bp,bp,bp,,,,,,,,,,,,,bp,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
24,20.090437,0.8156462,6,1,Owais20,Owais20,3,C40,00:00:27,King's Pawn Game: Busch-Gass Gambit,1443,1-0,https://lichess.org/ou3kaOGV,crazydio,1441,180+0,Owais20,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.17,0:02:58,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,,bp,bp,bp,,,,,,,,,,,,,bp,,,,,,,,wp,,,,,,,,,wn,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,,wr
25,11.925172,17.507555,7,1,juliancj,juliancj,0,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
26,-8.849312,-0.592428,7,0,juliancj,Kr11000,1,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.0,0:10:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,,wp,wp,wp,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
27,-3.0723684,9.764691,7,0,juliancj,juliancj,2,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.19,0:10:00,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,bn,,,,,,,,,,,,,,wp,,,,,,,,,,,,,wp,wp,wp,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
28,-0.12547933,3.2183316,7,0,juliancj,Kr11000,3,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.11,0:09:59,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,bn,,,,,,,,,,,,,wp,wp,,,,,,,,,,,,,wp,wp,,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
29,0.32164595,4.1898355,7,0,juliancj,juliancj,4,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.39,0:09:58,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,,bp,bp,bp,,,,,bp,bn,,,,,,,,,,,,,wp,wp,,,,,,,,,,,,,wp,wp,,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
30,0.63631177,4.3459196,7,0,juliancj,Kr11000,5,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.0,0:09:58,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,,bp,bp,bp,,,,,bp,bn,,,,,,,,,,,,,wp,wp,,,,,,,wn,,,,,,wp,wp,,,wp,wp,wp,wp,wr,,wb,wq,wk,wb,wn,wr
31,0.6741367,4.350727,7,1,juliancj,juliancj,6,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.25,0:09:56,br,bn,bb,bq,bk,,,br,bp,bp,bp,bp,,bp,bp,bp,,,,,bp,bn,,,,,,,,,,,,bb,wp,wp,,,,,,,wn,,,,,,wp,wp,,,wp,wp,wp,wp,wr,,wb,wq,wk,wb,wn,wr
32,10.982504,17.427502,8,1,Eldiosdelajedrez2021,KILLERVIENNA,0,A10,00:00:33,English Opening: Anglo-Dutch Defense,1976,1-0,https://lichess.org/fhdS1fDM,KILLERVIENNA,1608,180+0,Eldiosdelajedrez2021,2021.08.01,2021.08.01,Time forfeit,Rated Blitz game,-,0.0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
33,1.9332571,2.369934,8,1,Eldiosdelajedrez2021,Eldiosdelajedrez2021,1,A10,00:00:33,English Opening: Anglo-Dutch Defense,1976,1-0,https://lichess.org/fhdS1fDM,KILLERVIENNA,1608,180+0,Eldiosdelajedrez2021,2021.08.01,2021.08.01,Time forfeit,Rated Blitz game,-,0.2,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,,,wp,wp,,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
34,11.413842,16.579245,9,1,1/2-1/2,Guzman70,0,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
35,25.831663,7.8855433,9,0,1/2-1/2,juancruzariasTDF,1,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.24,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
36,4.1922894,8.725833,9,0,1/2-1/2,Guzman70,2,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.13,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,,bp,bp,bp,bp,bp,,,bp,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
37,1.8760883,-1.924919,9,0,1/2-1/2,juancruzariasTDF,3,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.17,0:02:59,br,bn,bb,bq,bk,bb,bn,br,bp,bp,,bp,bp,bp,bp,bp,,,bp,,,,,,,,,,,,,,,,,wp,wp,,,,,,,,,,,,wp,wp,wp,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
38,2.4016023,9.163371,9,0,1/2-1/2,Guzman70,4,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.25,0:02:59,br,bn,bb,bq,bk,bb,bn,br,bp,bp,,,bp,bp,bp,bp,,,bp,,,,,,,,,bp,,,,,,,,wp,wp,,,,,,,,,,,,wp,wp,wp,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
39,2.373107,9.124749,9,0,1/2-1/2,juancruzariasTDF,5,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.19,0:02:59,br,bn,bb,bq,bk,bb,bn,br,bp,bp,,,bp,bp,bp,bp,,,bp,,,,,,,,,wp,,,,,,,,wp,,,,,,,,,,,,,wp,wp,wp,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
40,-0.84930885,11.414691,9,0,1/2-1/2,Guzman70,6,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.28,0:02:59,br,bn,bb,bq,bk,bb,bn,br,bp,bp,,,bp,bp,bp,bp,,,,,,,,,,,,bp,,,,,,,,wp,,,,,,,,,,,,,wp,wp,wp,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
41,-0.5309557,6.2311783,9,0,1/2-1/2,juancruzariasTDF,7,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.0,0:02:58,br,bn,bb,bq,bk,bb,bn,br,bp,bp,,,bp,bp,bp,bp,,,,,,,,,,,,bp,,,,,,,wp,wp,,,,,,,,,,,,,wp,wp,,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
42,-0.2783811,5.7513394,9,0,1/2-1/2,Guzman70,8,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.0,0:02:57,br,bn,bb,bq,bk,bb,,br,bp,bp,,,bp,bp,bp,bp,,,,,,bn,,,,,,bp,,,,,,,wp,wp,,,,,,,,,,,,,wp,wp,,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
43,-0.06219968,5.662638,9,1,1/2-1/2,juancruzariasTDF,9,B14,00:00:33,Caro-Kann Defense: Panov Attack; Fianchetto Defense,2404,1/2-1/2,https://lichess.org/E1GAZJ0K,Guzman70,2601,180+0,juancruzariasTDF,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.0,0:02:57,br,bn,bb,bq,bk,bb,,br,bp,bp,,,bp,bp,bp,bp,,,,,,bn,,,,,,bp,,,,,,,wp,wp,,,,,,,wn,,,,,,wp,wp,,,,wp,wp,wp,wr,,wb,wq,wk,wb,wn,wr
44,11.094257,17.210989,10,1,1/2-1/2,buitrecito,0,A30,00:00:03,English Opening: Symmetrical Variation,1928,1/2-1/2,https://lichess.org/j6k3rxzG,buitrecito,1816,420+3,Matsubot05,2021.08.01,2021.08.01,Normal,Rated Rapid tournament https://lichess.org/tournament/FPGcdrg4,-,0.0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
45,1.935498,2.3581061,10,1,1/2-1/2,Matsubot05,1,A30,00:00:03,English Opening: Symmetrical Variation,1928,1/2-1/2,https://lichess.org/j6k3rxzG,buitrecito,1816,420+3,Matsubot05,2021.08.01,2021.08.01,Normal,Rated Rapid tournament https://lichess.org/tournament/FPGcdrg4,-,0.2,0:07:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,,,wp,wp,,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
46,11.721116,16.119734,11,1,Moderate_Chess,DennisMoreno,0,B50,00:00:03,Sicilian Defense: Delayed Alapin,2260,1-0,https://lichess.org/RFBYc5fI,DennisMoreno,2255,300+0,Moderate_Chess,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JTRjXWm8,-,0.0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
