x,y,line,cp,algo,player,age,ECO,UTCTime,Opening,BlackElo,Result,Site,Black,WhiteElo,TimeControl,White,UTCDate,Date,Termination,Event,Round,eval,clk,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1
4.577580350852582,-14.521681102139226,3,1,TATHAoo7,Anastasia_mir,1,B00,00:00:26,Carr Defense,1503,0-1,https://lichess.org/ajRPL5gr,TATHAoo7,1511,600+0,Anastasia_mir,2021.08.01,2021.08.01,Normal,Rated Rapid tournament https://lichess.org/tournament/cu9aqMOJ,-,0.24,0:10:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
-18.15084340985511,-8.834270523679153,4,1,MequinhoCover,StenioVargas,0,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
4.396382138769229,-14.781107916178614,4,0,MequinhoCover,MequinhoCover,1,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.24,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
5.336555312821397,-10.788974165383195,4,0,MequinhoCover,StenioVargas,2,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.4,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,,bp,,,,,,,bp,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
4.971196633728077,-8.858440247090638,4,0,MequinhoCover,MequinhoCover,3,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.68,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,,bp,,,,,,,bp,,,,,,,,,,,,,wp,wp,,,,,,,,,,,,wp,wp,wp,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
-2.4238748928707152,13.465304898617836,4,0,MequinhoCover,StenioVargas,4,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.69,0:03:01,br,bn,bb,bq,bk,,bn,br,bp,bp,bp,bp,bp,bp,bb,bp,,,,,,,bp,,,,,,,,,,,,,wp,wp,,,,,,,,,,,,wp,wp,wp,,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
-2.551037477174897,13.612351282101994,4,0,MequinhoCover,MequinhoCover,5,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,0.47,0:03:01,br,bn,bb,bq,bk,,bn,br,bp,bp,bp,bp,bp,bp,bb,bp,,,,,,,bp,,,,,,,,,,,,,wp,wp,,,,,,wn,,,,,,wp,wp,wp,,,wp,wp,wp,wr,,wb,wq,wk,wb,wn,wr
-2.3636989352775695,13.354625148853977,4,1,MequinhoCover,StenioVargas,6,B06,00:00:26,Pterodactyl Defense: Eastern; Anhanguera,2151,1-0,https://lichess.org/R3ItqGHy,StenioVargas,2062,180+2,MequinhoCover,2021.08.01,2021.08.01,Normal,Rated Blitz tournament https://lichess.org/tournament/JeUQ1f9Z,-,1.02,0:03:03,br,bn,bb,bq,bk,,bn,br,bp,bp,,bp,bp,bp,bb,bp,,,,,,,bp,,,,bp,,,,,,,,,wp,wp,,,,,,wn,,,,,,wp,wp,wp,,,wp,wp,wp,wr,,wb,wq,wk,wb,wn,wr
-18.163164791731894,-8.57368306189098,5,1,Munzogra,XenonHawk,0,B21,00:00:27,Sicilian Defense: Smith-Morra Gambit,1455,1-0,https://lichess.org/q1m8E5GB,XenonHawk,1460,180+0,Munzogra,2021.08.01,2021.08.01,Time forfeit,Rated Blitz game,-,0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
4.709141678747193,-15.370416213941956,5,0,Munzogra,Munzogra,1,B21,00:00:27,Sicilian Defense: Smith-Morra Gambit,1455,1-0,https://lichess.org/q1m8E5GB,XenonHawk,1460,180+0,Munzogra,2021.08.01,2021.08.01,Time forfeit,Rated Blitz game,-,0.24,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
12.998244435771005,3.413655322049149,5,1,Munzogra,XenonHawk,2,B21,00:00:27,Sicilian Defense: Smith-Morra Gambit,1455,1-0,https://lichess.org/q1m8E5GB,XenonHawk,1460,180+0,Munzogra,2021.08.01,2021.08.01,Time forfeit,Rated Blitz game,-,0.32,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,,bp,bp,bp,bp,bp,,,,,,,,,,,bp,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
-18.303557712075893,-9.384784442184433,6,1,Owais20,crazydio,0,C40,00:00:27,King's Pawn Game: Busch-Gass Gambit,1443,1-0,https://lichess.org/ou3kaOGV,crazydio,1441,180+0,Owais20,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
5.553188715955286,-14.181366711605364,6,0,Owais20,Owais20,1,C40,00:00:27,King's Pawn Game: Busch-Gass Gambit,1443,1-0,https://lichess.org/ou3kaOGV,crazydio,1441,180+0,Owais20,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.24,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
20.96295185088115,-9.176309532614361,6,0,Owais20,crazydio,2,C40,00:00:27,King's Pawn Game: Busch-Gass Gambit,1443,1-0,https://lichess.org/ou3kaOGV,crazydio,1441,180+0,Owais20,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.12,0:03:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,,bp,bp,bp,,,,,,,,,,,,,bp,,,,,,,,wp,,,,,,,,,,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
29.31972374516816,7.79985969603236,6,1,Owais20,Owais20,3,C40,00:00:27,King's Pawn Game: Busch-Gass Gambit,1443,1-0,https://lichess.org/ou3kaOGV,crazydio,1441,180+0,Owais20,2021.08.01,2021.08.01,Normal,Rated Blitz game,-,0.17,0:02:58,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,,bp,bp,bp,,,,,,,,,,,,,bp,,,,,,,,wp,,,,,,,,,wn,,,wp,wp,wp,wp,,wp,wp,wp,wr,wn,wb,wq,wk,wb,,wr
-17.284357198168152,-9.692848837588052,7,1,juliancj,juliancj,0,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0,0:00:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wp,wp,wp,wp,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
-13.664170279261201,19.08011241372251,7,0,juliancj,Kr11000,1,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.0,0:10:00,br,bn,bb,bq,bk,bb,bn,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,,,,,,,,,,,,,,,wp,,,,,,,,,,,,,wp,wp,wp,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
-10.539691924643558,13.583661538869972,7,0,juliancj,juliancj,2,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.19,0:10:00,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,bn,,,,,,,,,,,,,,wp,,,,,,,,,,,,,wp,wp,wp,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
-9.233725892958937,11.786363797856527,7,0,juliancj,Kr11000,3,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.11,0:09:59,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,bp,bp,bp,bp,,,,,,bn,,,,,,,,,,,,,wp,wp,,,,,,,,,,,,,wp,wp,,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
-9.379263135803525,10.10692376966849,7,0,juliancj,juliancj,4,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.39,0:09:58,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,,bp,bp,bp,,,,,bp,bn,,,,,,,,,,,,,wp,wp,,,,,,,,,,,,,wp,wp,,,wp,wp,wp,wp,wr,wn,wb,wq,wk,wb,wn,wr
-8.345415212524014,9.477573489684294,7,0,juliancj,Kr11000,5,E30,00:00:32,Nimzo-Indian Defense: Leningrad Variation,1849,0-1,https://lichess.org/WfvlX54i,juliancj,1843,600+0,Kr11000,2021.08.01,2021.08.01,Normal,Rated Rapid game,-,0.0,0:09:58,br,bn,bb,bq,bk,bb,,br,bp,bp,bp,bp,,bp,bp,bp,,,,,bp,bn,,,,,,,,,,,,,wp,wp,,,,,,,wn,,,,,,wp,wp,,,wp,wp,wp,wp,wr,,wb,wq,wk,wb,wn,wr
